bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,gpt_categories,gpt_bill_type,gpt_reason
hr522-112,112,2011-02-08,Labor and Employment,Administrative law and regulatory procedures|Air quality|Department of Labor|Fires|Labor standards|Worker safety and health,"To require the Secretary of Labor to issue an interim occupational safety and health standard regarding worker exposure to combustible dust, and for other purposes.",Worker Protection Against Combustible Dust Explosions and Fires Act of 2011,,,"The bill focuses on occupational safety standards for combustible dust exposure, not on employer wage, hour, or benefit obligations."
hr2465-114,114,2015-05-20,Armed Forces and National Security,"Educational technology and distance education|Veterans' education, employment, rehabilitation|Veterans' loans, housing, homeless programs","To amend title 38, United States Code, to make certain improvements to the monthly housing stipend payable under the Post-9/11 Educational Assistance Program of the Department of Veterans Affairs.",Student Veterans Housing Support Act,,,"The bill addresses housing stipends for veterans under the Post-9/11 Educational Assistance Program, which is a government benefit program, not a private employer wage or benefit obligation."
hr1018-112,112,2011-03-10,Taxation,Housing finance and home ownership|Income tax deductions,To amend the Internal Revenue Code of 1986 to make permanent the deduction for mortgage insurance premiums.,,,,"The bill addresses tax deductions for mortgage insurance premiums, which does not relate to private employer wage or benefit obligations."
hr2518-107,107,2001-07-17,Energy,Alcohol as fuel|Alternative fuels|Compressed natural gas|Diesel motor|Electric vehicles|Elementary and secondary education|Federal aid to education|Federal aid to transportation|Fuel cells|Hydrocarbons|Hydrogen as fuel|Liquefied natural gas|Liquefied petroleum gas|Methane|Methanol|Motor vehicle pollution control|Natural gas vehicles|Nitrogen oxides|Propane|School buses|Smog,"To establish a pilot program within the Department of Energy to facilitate the use of alternative fuel school buses through grants for energy demonstration and commercial application of energy technology, and for other purposes.",Clean Green School Bus Act of 2001,,,"The bill focuses on energy technology and alternative fuel school buses, not on private employer wage or benefit obligations."
hr4444-113,113,2014-04-09,Economics and Public Finance,Budget deficits and national debt|Congressional Budget Office (CBO)|Congressional agencies|Congressional operations and organization|Economic performance and conditions|Government studies and investigations,To amend the Congressional Budget Act of 1974 to require that the Congressional Budget Office prepare long-term scoring estimates for reported bills and joint resolutions that could have significant economic and fiscal effects outside of the normal scoring periods.,Long-Term SCORE Act,,,The bill pertains to the procedures for long-term budget scoring by the Congressional Budget Office and does not involve private employer wage or benefit obligations.
s535-110,110,2007-02-08,Crime and Law Enforcement,Civil rights enforcement|Congressional reporting requirements|Conspiracy|Criminal investigation|Department of Justice|Evidence (Law)|Executive reorganization|Federal Bureau of Investigation (FBI)|Federal law enforcement officers|Federal-local relations|Federal-state relations|Government paperwork|Governmental investigations|Housing discrimination|Inspectors general|Kidnapping|Missing children|Murder|Police-community relations|Prosecution|Prostitution|Relocation|Sex crimes|Sex-oriented businesses|Slavery|Sunset legislation,"A bill to establish an Unsolved Crimes Section in the Civil Rights Division of the Department of Justice, and an Unsolved Civil Rights Crime Investigative Office in the Civil Rights Unit of the Federal Bureau of Investigation, and for other purposes.",Emmett Till Unsolved Civil Rights Crime Act,,,The bill focuses on establishing investigative offices for unsolved civil rights crimes and does not address private employer wage or benefit obligations.
hr5153-107,107,2002-07-17,Commemorations,Commemorations|Congressional tributes|Names|New Jersey|Postal facilities,"To designate the facility of the United States Postal Service located on Kinderkamack Road in Emerson, New Jersey, as the ""Gary Albero Post Office Building"".",,,,"The bill designates a postal facility name, which does not involve private employer wage or benefit obligations."
hr1719-111,111,2009-03-25,Government Operations and Politics,"Elections, voting, political campaign regulation|Internet and video services","To amend the National Voter Registration Act of 1993 and the Help America Vote Act of 2002 to promote the use of the Internet by State and local election officials in carrying out voter registration activities, and for other purposes.",Voter Registration Modernization Act of 2009,,,The bill focuses on modernizing voter registration processes and does not involve private employer wage or benefit obligations.
hr3262-113,113,2013-10-05,Economics and Public Finance,Budget deficits and national debt,"Eliminating the debt ceiling for a period defined, and for other purposes.",Fiscal Sanity Act for the National Debt,,,"The bill addresses the national debt limit, which does not involve private employer wage or benefit obligations."
s1498-115,115,2017-06-29,"Arts, Culture, Religion","District of Columbia|Executive agency funding and structure|Museums, exhibitions, cultural centers|Smithsonian Institution|U.S. history|Women's employment|Women's rights","A bill to establish in the Smithsonian Institution a comprehensive American women's history museum, and for other purposes.",Smithsonian American Women's History Museum Act,,,The bill establishes a museum within the Smithsonian Institution and does not address private employer wage or benefit obligations.
s624-114,114,2015-03-03,Health,Cancer|Digestive and metabolic diseases|Medical tests and diagnostic methods|Medicare,"A bill to amend title XVIII of the Social Security Act to waive coinsurance under Medicare for colorectal cancer screening tests, regardless of whether therapeutic intervention is required during the screening.",Removing Barriers to Colorectal Cancer Screening Act of 2015,,,"The bill addresses Medicare coverage for colorectal cancer screenings, which involves government reimbursement rates, not private employer wage or benefit obligations."
hr4994-107,107,2002-06-21,Labor and Employment,Congressional reporting requirements|Dislocated workers|Occupational retraining|Plant shutdowns|State laws|Unemployed|Unemployment insurance,"To provide for the payment or reimbursement by the Federal Government of special unemployment assistance paid by States to individuals participating in qualified worker training programs, and for other purposes.",Skills and Training Promotion Act,,,"The bill provides federal payments for state unemployment assistance related to worker training programs, which does not involve private employer wage or benefit obligations."
hr5046-109,109,2006-03-29,Education,Business education|Congressional reporting requirements|Consumer credit|Consumer education|Curricula|Economic theory|Educational accountability|Educational innovations|Elementary and secondary education|Elementary education|Federal aid to education|Higher education|Nonprofit organizations|Personal budgets|Saving and investment|Secondary education|Teacher education|Teachers|Teaching|Teaching materials|Youth,To promote youth financial education.,Youth Financial Education Act,,,"The bill focuses on promoting financial literacy education in schools, which does not involve private employer wage or benefit obligations."
s1617-108,108,2003-09-15,Labor and Employment,Administrative procedure|Annuities|Collective bargaining|Defined contribution plans|Divorce|Income tax|Interest|Married people|Railroad retirement plans|Separation (Law)|Survivors' benefits|Tax-deferred compensation plans|Widowers|Widows|Women|Women's retirement,A bill to amend the employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to provide comprehensive pension protection for women.,Women's Pension Protection Act of 2003,1,enforcement,"The bill amends ERISA to enhance pension protections, directly addressing private employer obligations related to retirement benefit plans."
hr6659-115,115,2018-08-07,Transportation and Public Works,"Aviation and airports|Congressional oversight|Disability and paralysis|Government studies and investigations|Photography and imaging|Racial and ethnic relations|Religion|Right of privacy|Sex, gender, sexual orientation discrimination|Technology assessment|Transportation employees|Transportation safety and security","To improve the screening of transgender persons at airport security checkpoints, and for other purposes.",Screening With Dignity Act of 2018,,,"The bill addresses TSA procedures for screening transgender passengers at airports, which does not involve private employer wage or benefit obligations."
hr4810-111,111,2010-03-10,Armed Forces and National Security,"Department of Veterans Affairs|Executive agency funding and structure|Government information and archives|Homelessness and emergency shelter|Veterans' loans, housing, homeless programs","To amend title 38, United States Code, to make certain improvements in the services provided for homeless veterans under the laws administered by the Secretary of Veterans Affairs.",End Veteran Homelessness Act of 2010,,,"The bill focuses on improving services for homeless veterans through the Department of Veterans Affairs, which does not involve private employer wage or benefit obligations."
hr2499-115,115,2017-05-17,Government Operations and Politics,"Administrative law and regulatory procedures|Congressional oversight|Election Assistance Commission|Elections, voting, political campaign regulation|Government studies and investigations|Political parties and affiliation","To amend the Help America Vote Act of 2002 to require States to meet standards for the location and operation of polling places used in elections for Federal office, including a standard requiring States to ensure that no individual waits for longer than one hour to cast a vote at a polling place, and for other purposes.",Voting Access Act,,,"The bill addresses election procedures and polling place standards, not private employer wage or benefit obligations."
s1653-110,110,2007-06-19,Energy,Administrative procedure|Congressional reporting requirements|Department of Energy|Insurance premiums|Judicial review|Liability for nuclear damages|Liability insurance|Nuclear fuels|Nuclear power plants|Risk|Treaties,"A bill to implement the Convention on Supplementary Compensation for Nuclear Damage, and for other purposes.",Convention on Supplementary Compensation for Nuclear Damage Contingent Cost Allocation Act,,,"The bill addresses liability and compensation for nuclear incidents, which does not involve private employer wage or benefit obligations."
hr3589-110,110,2007-09-19,Foreign Trade and International Finance,Dislocated workers|High technology|Information technology|Location of industries|Service industries|Trade adjustment assistance,To amend the Trade Act of 1974 to extend trade adjustment assistance to certain service workers.,,,,"The bill extends trade adjustment assistance to service workers affected by offshoring, which does not involve private employer wage or benefit obligations."
hr4464-113,113,2014-04-10,Taxation,Foreign and international corporations|Income tax deferral|Taxation of foreign income|U.S. and foreign investments,To amend the Internal Revenue Code of 1986 to make permanent the look-through treatment of payments between related controlled foreign corporations.,Permanent CFC Look-Through Act of 2014,,,"The bill addresses tax treatment of income between related foreign corporations, not private employer wage or benefit obligations."
hr2581-112,112,2011-07-18,Economics and Public Finance,Budget deficits and national debt|Government trust funds|Social security and elderly assistance,To provide that the public debt limit shall not affect timely payment in full of Social Security benefits.,Social Security Check Guarantee Act of 2011,,,"The bill addresses the timely payment of Social Security benefits, which is a government benefit program, not a private employer wage or benefit obligation."
hr1318-116,116,2019-02-22,Congress,"Art, artists, authorship|Congressional agencies|District of Columbia|Government buildings, facilities, and property|Library of Congress|National symbols",To direct the Librarian of Congress to obtain a stained glass panel depicting the seal of the District of Columbia and install the panel among the stained glass panels depicting the seals of States which overlook the Main Reading Room of the Library of Congress Thomas Jefferson Building.,,,,The bill pertains to the installation of a stained glass panel in the Library of Congress and does not involve private employer wage or benefit obligations.
hr7171-110,110,2008-09-26,Animals,Animal protection and human-animal relationships|Canada|Endangered and threatened species|Hunting and fishing|Mammals|Trade restrictions,To amend the Marine Mammal Protection Act of 1972 to allow the importation of polar bear trophies taken in sport hunts in Canada.,Restoration of the U.S.-Russia Polar Bear Conservation Fund Act of 2008,,,The bill addresses importation of polar bear trophies and does not involve private employer wage or benefit obligations.
s177-107,107,2001-01-25,Government Operations and Politics,Collective bargaining agreements|Employee-management relations in government|Fringe benefits|Government employee unions|Industrial arbitration|Postal employees|Postal service|Salaries|United States Postal Service,"A bill to amend the provisions of title 39, United States Code, relating to the manner in which pay policies and schedules and fringe benefit programs for postmasters are established.",Postmasters Fairness and Rights Act,,,"The bill addresses pay policies and fringe benefits for postmasters, who are government employees, thus not involving private employer wage or benefit obligations."
s2704-107,107,2002-06-28,Armed Forces and National Security,Alaska|Biological warfare|Biological weapons|Chemical warfare|Chemical weapons|Classified defense information|Congress and military policy|Congressional investigations|Congressional reporting requirements|Electronic government information|Environmental health|Freedom of information|Government publicity|Governmental investigations|Health surveys|Internet|Military research|Naval research|Physical examinations|Security classification (Government documents)|Solvents|Veterans' medical care|Veterans' organizations|Warships|Web sites,"A bill to provide for the disclosure of information on projects of the Department of Defense, such as Project 112 and the Shipboard Hazard and Defense Project (Project SHAD), that included testing of biological or chemical agents involving potential exposure of members of the Armed Forces to toxic agents, and for other purposes.",Veterans Right-To-Know Act of 2002,,,"The bill addresses disclosure of information related to military projects and veterans' exposure to hazardous agents, which does not involve private employer wage or benefit obligations."
s3066-111,111,2010-03-03,Government Operations and Politics,"Administrative law and regulatory procedures|Employee benefits and pensions|Government employee pay, benefits, personnel management|Inflation and prices|Office of Personnel Management (OPM)",A bill to correct the application of the Non-Foreign Area Retirement Equity Assurance Act of 2009 (5 U.S.C. 5304 note) to employees paid saved or retained rates.,,,,"The bill addresses government employee pay and benefits, specifically related to the Non-Foreign Area Retirement Equity Assurance Act, and does not involve private employer wage or benefit obligations."
hr3484-108,108,2003-11-07,Animals,Administrative procedure|Administrative remedies|Animal breeding|Auctions|Department of Agriculture|Dogs|Licenses|Pets|Protection of animals|Retail trade|Standards|Veterinary medicine,"To amend the Animal Welfare Act to improve the standards for the care and treatment of certain animals, and for other purposes.",Puppy Protection Act of 2003,,,"The bill amends the Animal Welfare Act to improve standards for animal care and treatment, which does not involve private employer wage or benefit obligations."
s1710-111,111,2009-09-24,Economics and Public Finance,"Community life and organization|Financial crises and stabilization|Public contracts and procurement|Social work, volunteer service, charitable organizations","A bill to prohibit recipients of TARP assistance from funding ACORN, and for other purposes.",,,,"The bill prohibits TARP recipients from funding ACORN, which does not involve private employer wage or benefit obligations."
s89-111,111,2009-01-06,Housing and Community Development,Advisory bodies|Housing and community development funding|Low- and moderate-income housing|Public contracts and procurement|Public housing,"A bill to authorize the Moving to Work Charter program to enable public housing agencies to improve the effectiveness of Federal housing assistance, and for other purposes.",Moving to Work Charter Program Act of 2009,,,"The bill focuses on public housing agency operations and funding, not on private employer wage or benefit obligations."
s502-107,107,2001-03-09,Native Americans,Administrative procedure|Congressional reporting requirements|Department of the Interior|Federal aid to Indians|Federal-Indian relations|Government paperwork|Government publicity|Legislation|Minorities|Performance measurement|Planning-programming-budgeting|Strategic planning,"A bill to provide for periodic Indian needs assessments, to require Federal Indian program evaluations, and for other purposes.",Indian Needs Assessment and Program Evaluation Act of 2001,,,"The bill focuses on assessing and evaluating federal programs and services for Indian tribes, not on private employer wage or benefit obligations."
hr5672-111,111,2010-07-01,Public Lands and Natural Resources,Appropriations|Firearms and explosives|Outdoor recreation|Wildlife conservation and habitat protection,To protect the use of traditional hunting and fishing equipment on Federal lands and to prevent unnecessary and unwarranted restrictions on the implements and equipment used by hunting and fishing communities.,,,,"The bill addresses the use of hunting and fishing equipment on federal lands, which does not involve private employer wage or benefit obligations."
s1243-110,110,2007-04-26,Armed Forces and National Security,Armed forces reserves|Military pensions|Retirement age,"A bill to amend title 10, United States Code, to reduce the age for receipt of military retired pay for nonregular service from 60 years of age to 55 years of age.",,,,"The bill addresses military pensions and retirement age for non-regular service, which involves government obligations, not private employer wage or benefit obligations."
hr4541-109,109,2005-12-14,Environmental Protection,Drainage|Energy facilities|Gas pipelines|Licenses|Natural gas|Oil pollution|Oil well drilling|Petroleum|Petroleum engineering|Petroleum pipelines|Petroleum refineries|Prospecting|Water pollution control|Water quality,To amend the Federal Water Pollution Control Act to improve the quality of the waters of the United States in an equitable manner.,"Clean Lakes, Estuaries, and Rivers Act of 2005",,,"The bill focuses on environmental protection and water quality, with no relation to private employer wage or benefit obligations."
s500-114,114,2015-02-12,Energy,Energy revenues and royalties|Intergovernmental relations|Mining|Oil and gas|State and local finance,"A bill to amend the Mineral Leasing Act to require the Secretary of the Interior to convey to a State all right, title, and interest in and to a percentage of the amount of royalties and other amounts required to be paid to the State under that Act with respect to public land and deposits in the State, and for other purposes.",State Mineral Revenue Protection Act,,,"The bill addresses the distribution of mineral royalties between federal and state governments, not private employer wage or benefit obligations."
hr1650-115,115,2017-03-21,Families,Adoption and foster care|Child safety and welfare|Domestic violence and child abuse|Government information and archives|Government studies and investigations|State and local government operations,"To establish a national, research-based, and comprehensive home study assessment process for the evaluation of prospective foster parents and adoptive parents and provide funding to States and Indian tribes to adopt such process.",National Adoption and Foster Care Home Study Act,,,"The bill focuses on establishing a home study assessment process for foster and adoptive parents, which does not involve private employer wage or benefit obligations."
hr6373-111,111,2010-09-29,Health,Health care costs and insurance|Health care coverage and access|Health personnel|Medicaid|Nursing,To amend title XIX of the Social Security Act to improve access to advanced practice nurses and physician assistants under the Medicaid Program.,Medicaid Advanced Practice Nurses and Physician Assistants Access Act of 2009,,,"The bill addresses Medicaid program adjustments and healthcare provider roles, not private employer wage or benefit obligations."
hr5673-113,113,2014-09-19,Immigration,Border security and unlawful immigration|Detention of persons|Education programs funding|Elementary and secondary education|Foreign aid and international relief|Immigrant health and welfare|Intergovernmental relations|Law enforcement administration and funding|Right of privacy|State and local finance,"To direct the Secretary of the Treasury to establish a program to reimburse States and political subdivisions of States for expenses related to the presence of aliens having no lawful immigration status, and for other purposes.",Accountability in Foreign Aid Act of 2014,,,"The bill addresses reimbursement for state expenses related to unlawful immigration, not private employer wage or benefit obligations."
hr4936-107,107,2002-06-13,Armed Forces and National Security,Disability retirement|Disabled|Disabled veterans|Military dependents|Military pay|Relocation|Retired military personnel|Travel costs|Veterans' benefits,"To amend title 37, United States Code, to provide a dislocation allowance under section 407 of such title to retired members of the uniformed services and members on the temporary disability retired list moving from their last duty station to their designated home.",Military Retiree Dislocation Assistance Act,,,"The bill addresses dislocation allowances for retired military personnel, which involves government benefits rather than private employer wage or benefit obligations."
hr4838-106,106,2000-07-12,Immigration,Disabled|Loyalty oaths|Naturalization,To amend the Immigration and Nationality Act to provide a waiver of the oath of renunciation and allegiance for naturalization of aliens having certain disabilities.,,,,"The bill addresses immigration procedures for individuals with disabilities, not private employer wage or benefit obligations."
hr6267-109,109,2006-09-29,Taxation,Electric appliances|Energy conservation|Energy efficiency|Fuel cells|Income tax|Solar energy|Tax credits,To amend the Internal Revenue Code of 1986 to permanently extend the credits for residential energy efficient property and new energy efficient homes.,,,,"The bill focuses on extending tax credits for energy efficiency improvements, which do not relate to private employer wage or benefit obligations."
hr2292-111,111,2009-05-06,Health,Child health|Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Health promotion and preventive care|Income tax deductions,"To amend the Employee Retirement Income Security Act of 1974, the Public Health Service Act, and the Internal Revenue Code of 1986 to require coverage of preventive care for children.",Healthy Kids for Healthy Futures Act of 2009,,,"The bill mandates preventive care coverage for children under group health plans, which relates to health insurance coverage rather than private employer wage or benefit obligations."
s2935-115,115,2018-05-23,Transportation and Public Works,,"A bill to prioritize and support the Human Intervention Motivation Study (HIMS) program for flight crewmembers and the Flight Attendant Drug and Alcohol Program (FADAP) for flight attendants, and for other purposes.",Transportation Workforce Recovery and Retention Act,,,"The bill focuses on supporting programs for substance abuse treatment for transportation workers, not on private employer wage or benefit obligations."
hr4626-110,110,2007-12-13,Finance and Financial Sector,Authorization|Commodity Futures Trading Commission|Fines (Penalties)|Foreign exchange|Futures trading|Government paperwork|Independent regulatory commissions|Information disclosure (Securities law)|Jurisdiction|Market manipulation|Securities fraud|Securities regulation|Sentences (Criminal procedure),"To reauthorize and amend the Commodity Exchange Act to promote legal certainty, enhance competition, and reduce systemic risk in markets for futures and over-the-counter derivatives, and for other purposes.",CFTC Reauthorization Act of 2007,,,"The bill focuses on financial market regulation and the jurisdiction of the Commodity Futures Trading Commission, with no relation to private employer wage or benefit obligations."
hr3968-110,110,2007-10-25,Health,Medical fees|Medical personnel|Medicare|Respiratory diseases,To amend title XVIII of the Social Security Act to provide for Medicare coverage of services of qualified respiratory therapists performed under the general supervision of a physician.,Medicare Respiratory Therapy Initiative Act of 2007,,,"The bill addresses Medicare coverage for respiratory therapy services, which involves government reimbursement rates, not private employer wage or benefit obligations."
hjres124-115,115,2017-12-13,Economics and Public Finance,"Appropriations|Budget process|Caribbean area|Child health|Defense spending|Department of Defense|Digestive and metabolic diseases|Executive agency funding and structure|Gambling|Health care costs and insurance|Health care coverage and access|Health facilities and institutions|Health programs administration and funding|Health promotion and preventive care|Indian social and development programs|Medicaid|Medical education|Medicare|Military procurement, research, weapons development|Minority health|Nuclear weapons|Puerto Rico|Sex and reproductive health|U.S. territories and protectorates|Veterans' medical care|Virgin Islands","Making further additional continuing appropriations for fiscal year 2018, and for other purposes.",,,,"The bill primarily addresses government appropriations and public health programs, with no direct regulation or enforcement of private employer wage or benefit obligations."
hr1654-108,108,2003-04-07,Government Operations and Politics,Administrative procedure|Congressional oversight|Congressional reporting requirements|Cost effectiveness|Executive orders|Expedited congressional procedure|Government regulation|House rules and procedure|Legislative resolutions|Monetary policy|Right of petition|Senate rules and procedure,"To amend chapter 8 of title 5, United States Code, to require congressional approval of proposed rules considered by the Congress to be significant rules.",Legislative Oversight of Significant Regulations Act of 2003,,,"The bill focuses on congressional oversight of significant federal regulations, not on private employer wage or benefit obligations."
hr2663-111,111,2009-06-02,Transportation and Public Works,Bankruptcy|Department of Transportation|Executive agency funding and structure|Government lending and loan guarantees|Infrastructure development|Roads and highways|Transportation programs funding,"To amend title 23, United States Code, to increase certain infrastructure finance provisions, and for other purposes.",TIFIA of 2009,,,"The bill focuses on infrastructure finance provisions and transportation project funding, with no relation to private employer wage or benefit obligations."
s4091-109,109,2006-12-06,Social Welfare,"Appropriations|Government trust funds|Income tax|Old age, survivors and disability insurance|Social security finance|Withholding tax","A bill to provide authority for restoration of the Social Security Trust Funds from the effects of a clerical error, and for other purposes.",Social Security Trust Funds Restoration Act of 2006,,,"The bill addresses appropriations to restore Social Security Trust Funds, which does not involve private employer wage or benefit obligations."
s312-111,111,2009-01-22,Taxation,Housing finance and home ownership|Income tax credits,A bill to amend the Internal Revenue Code of 1986 to allow a refundable credit against income tax for the purchase of a principal residence by a first-time homebuyer.,First-Time Homebuyers' Tax Credit Act of 2009,,,"The bill provides a tax credit for first-time homebuyers, which does not relate to private employer wage or benefit obligations."
hr2083-114,114,2015-04-29,Health,Employment discrimination and employee rights|Health care quality|Health information and medical records|Health personnel|Hospital care|Medicare|Nursing,"To amend title XVIII of the Social Security Act to provide for patient protection by establishing safe nurse staffing levels at certain Medicare providers, and for other purposes.",Registered Nurse Safe Staffing Act of 2015,,,"The bill focuses on nurse staffing levels at Medicare providers, which involves healthcare quality and patient safety, not private employer wage or benefit obligations."
hr3526-111,111,2009-07-31,Crime and Law Enforcement,Advisory bodies|Crime prevention|Juvenile crime and gang violence|Law enforcement administration and funding|Violent crime,"To provide definitions of terms and services related to community-based gang intervention to ensure that funding for such intervention is utilized in a cost-effective manner and that community-based agencies are held accountable for providing holistic, integrated intervention services, and for other purposes.",Tony Cardenas Community-Based Gang Intervention Act,,,"The bill focuses on funding and defining community-based gang intervention services, which does not involve private employer wage or benefit obligations."
hr1553-110,110,2007-03-15,Health,Cancer|Child health|Clinical trials|Communication in medicine|Data banks|Federal aid to research|Grants-in-aid|Health education|Health information systems|Medical research|Preventive medicine|Research grants,"To amend the Public Health Service Act to advance medical research and treatments into pediatric cancers, ensure patients and families have access to information regarding pediatric cancers and current treatments for such cancers, establish a national childhood cancer registry, and promote public awareness of pediatric cancer.",Caroline Pryce Walker Conquer Childhood Cancer Act of 2008,,,The bill focuses on advancing medical research and treatments for pediatric cancers and does not address private employer wage or benefit obligations.
hr2518-111,111,2009-05-20,Law,Civil actions and liability|Evidence and witnesses|Manufacturing|Product safety and quality|Retail and wholesale trades,To prevent undue disruption of interstate commerce by limiting civil actions brought against persons whose only role with regard to a product in the stream of commerce is as a lawful seller of the product.,Innocent Sellers Fairness Act,,,"The bill addresses liability protections for sellers in product-related civil actions, not private employer wage or benefit obligations."
hr6145-110,110,2008-05-22,"Science, Technology, Communications",Child safety|Computer crimes|Electronic mail systems|Elementary and secondary education|Elementary education|Internet|Libraries|Secondary education|Telecommunication rates|Web sites,"To amend the Communications Act of 1934 to include within the certification required for certain schools and libraries having computers with Internet access that receive services at discounted rates that, as part of the required Internet safety policy, the schools and libraries are educating minors about safe online behavior.",Protecting Our Children Online Act of 2008,,,"The bill addresses online safety education for minors in schools and libraries, not private employer wage or benefit obligations."
s1841-113,113,2013-12-17,Economics and Public Finance,Appropriations|Budget process|Defense spending|Department of Defense|Executive agency funding and structure,"A bill to mitigate the reduction in the readiness of our Armed Forces by reducing the defense sequestration cuts for fiscal years 2014 and 2015 but implementing the cuts, in their entirety, over the duration of sequestration.",,,,"The bill addresses defense spending and budget sequestration, with no relation to private employer wage or benefit obligations."
hr342-114,114,2015-01-14,Armed Forces and National Security,Disability assistance|Military facilities and property|Military personnel and dependents|Retail and wholesale trades,"To amend title 10, United States Code, to extend military commissary and exchange store privileges, without time-period limitation, to members of the Armed Forces who are involuntarily separated with a service-connected disability and also to extend such privileges to their dependents.",,,,"The bill extends commissary and exchange privileges to certain military personnel and their dependents, which does not involve private employer wage or benefit obligations."
hr4609-107,107,2002-04-25,Water Resources Development,Aquifers|Congressional reporting requirements|Governmental investigations|Groundwater|Hydrology|Idaho|Washington State,"To direct the Secretary of the Interior to conduct a comprehensive study of the Rathdrum Prairie/Spokane Valley Aquifer, located in Idaho and Washington.",,,,The bill focuses on a study of a groundwater aquifer and does not involve private employer wage or benefit obligations.
s3171-112,112,2012-05-10,Foreign Trade and International Finance,Tariffs,A bill to extend the temporary suspension of duty on Nylostab seed.,,,,"The bill pertains to tariff adjustments on Nylostab seed, unrelated to private employer wage or benefit obligations."
hr6365-110,110,2008-06-25,Health,Administrative procedure|Age|Chronically ill|Department of Health and Human Services|Executive reorganization|Federal-state relations|Governmental investigations|Health insurance|Intergovernmental fiscal relations|Managed care|Medicaid|Medicare|Risk,To amend part C of title XVIII of the Social Security Act with respect to Medicare special needs plans and the alignment of Medicare and Medicaid for dually eligible individuals.,Medicare Special Needs Plans Extension and Amendments Act of 2008,,,"The bill addresses Medicare and Medicaid alignment and financing for special needs plans, which involves government benefit programs, not private employer wage or benefit obligations."
hr1557-108,108,2003-04-02,Taxation,Government publicity|Identification devices|Income tax|Mass media|Tax refunds|Tax returns|Taxpayers,To amend the Internal Revenue Code of 1986 to allow the Secretary of the Treasury to disclose taxpayer identity information through mass communications to notify persons entitled to tax refunds.,IRS Refund Accessibility Act of 2003,,,"The bill addresses the disclosure of taxpayer identity information for notifying individuals about tax refunds, which does not involve private employer wage or benefit obligations."
hr908-111,111,2009-02-04,Crime and Law Enforcement,Aging|Department of Justice|Emergency communications systems|Executive agency funding and structure|Law enforcement administration and funding|Neurological disorders,To amend the Violent Crime Control and Law Enforcement Act of 1994 to reauthorize the Missing Alzheimer's Disease Patient Alert Program.,Missing Alzheimer's Disease Patient Alert Program Reauthorization of 2009,,,"The bill reauthorizes a program related to locating missing Alzheimer's patients, which does not involve private employer wage or benefit obligations."
s460-108,108,2003-02-26,Immigration,Aliens|Authorization|Compensation (Law)|Criminal aliens|Department of Homeland Security|Federal aid to law enforcement|Illegal aliens|Imprisonment|Intergovernmental fiscal relations,A bill to amend the Immigration and Nationality Act to authorize appropriations for fiscal years 2004 through 2010 to carry out the State Criminal Alien Assistance Program.,State Criminal Alien Assistance Program Reauthorization Act of 2003,,,"The bill authorizes appropriations for a program related to criminal aliens and law enforcement, not private employer wage or benefit obligations."
hr6556-115,115,2018-07-26,Government Operations and Politics,"Congressional tributes|Government buildings, facilities, and property|Postal service|Virginia","To designate the facility of the United States Postal Service located at 301 East Third Street in Farmville, Virginia, as the ""Barbara Rose Johns Post Office"".",,,,"The bill designates a postal facility name, which does not involve private employer wage or benefit obligations."
hr4374-115,115,2017-11-13,Health,"Blood and blood diseases|Chemical and biological weapons|Conflicts and wars|Drug safety, medical device, and laboratory regulation|Drug therapy|Emergency medical services and trauma care|Government studies and investigations|Health promotion and preventive care|Immunology and vaccination|Licensing and registrations|Military medicine|Nuclear weapons","To amend the Federal Food, Drug, and Cosmetic Act to authorize additional emergency uses for medical products to reduce deaths and severity of injuries caused by agents of war, and for other purposes.",,,,"The bill addresses emergency use authorizations for medical products in military contexts, not private employer wage or benefit obligations."
hr5203-112,112,2012-04-27,Foreign Trade and International Finance,Tariffs,To suspend temporarily the duty on certain woven fiberglass window shade material with acrylic coating.,,,,"The bill addresses tariff suspensions on materials, unrelated to private employer wage or benefit obligations."
hr5556-113,113,2014-09-18,Health,Health information and medical records|Home and outpatient care|Medicare|Surgery and anesthesia,"To amend title XVIII of the Social Security Act with respect to the treatment of patient encounters in ambulatory surgical centers in determining meaningful EHR use, and for other purposes.",Electronic Health Fairness Act of 2014,,,"The bill addresses Medicare EHR use criteria for ambulatory surgical centers, not private employer wage or benefit obligations."
s3413-109,109,2006-06-06,Private Legislation,Private Legislation|Tariff,"A bill to provide for the liquidation or reliquidation of certain entries of educational toys entered in November 1 through December 11, 2004.",,,,"The bill addresses the liquidation or reliquidation of tariffs on educational toys, which does not involve private employer wage or benefit obligations."
