bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,claude_categories,claude_bill_type,claude_reason
s89-111,111,2009-01-06,Housing and Community Development,Advisory bodies|Housing and community development funding|Low- and moderate-income housing|Public contracts and procurement|Public housing,"A bill to authorize the Moving to Work Charter program to enable public housing agencies to improve the effectiveness of Federal housing assistance, and for other purposes.",Moving to Work Charter Program Act of 2009,,,"This bill authorizes a Moving to Work Charter program for public housing agencies to administer federal housing assistance more flexibly; it does not regulate private employer wage, hour, or benefit obligations."
s502-107,107,2001-03-09,Native Americans,Administrative procedure|Congressional reporting requirements|Department of the Interior|Federal aid to Indians|Federal-Indian relations|Government paperwork|Government publicity|Legislation|Minorities|Performance measurement|Planning-programming-budgeting|Strategic planning,"A bill to provide for periodic Indian needs assessments, to require Federal Indian program evaluations, and for other purposes.",Indian Needs Assessment and Program Evaluation Act of 2001,,,"This bill establishes assessment and reporting requirements for federal programs serving Indian tribes and Native Americans, but does not regulate private employer wage, hour, or benefit obligations."
hr5672-111,111,2010-07-01,Public Lands and Natural Resources,Appropriations|Firearms and explosives|Outdoor recreation|Wildlife conservation and habitat protection,To protect the use of traditional hunting and fishing equipment on Federal lands and to prevent unnecessary and unwarranted restrictions on the implements and equipment used by hunting and fishing communities.,,,,"This bill restricts federal agencies from regulating hunting and fishing equipment on public lands and does not address private employer wage, hour, benefit obligations, or any conduct covered under FLSA, WARN, ERISA, or FMLA."
s1243-110,110,2007-04-26,Armed Forces and National Security,Armed forces reserves|Military pensions|Retirement age,"A bill to amend title 10, United States Code, to reduce the age for receipt of military retired pay for nonregular service from 60 years of age to 55 years of age.",,,,"Bill adjusts the retirement age for military reserve members receiving government military pensions, which involves government employee benefits rather than private employer wage or benefit obligations."
hr4541-109,109,2005-12-14,Environmental Protection,Drainage|Energy facilities|Gas pipelines|Licenses|Natural gas|Oil pollution|Oil well drilling|Petroleum|Petroleum engineering|Petroleum pipelines|Petroleum refineries|Prospecting|Water pollution control|Water quality,To amend the Federal Water Pollution Control Act to improve the quality of the waters of the United States in an equitable manner.,"Clean Lakes, Estuaries, and Rivers Act of 2005",,,"This bill amends environmental regulations regarding oil and gas operations under the Clean Water Act and does not address private employer wage, hour, benefit obligations, or related misconduct."
s500-114,114,2015-02-12,Energy,Energy revenues and royalties|Intergovernmental relations|Mining|Oil and gas|State and local finance,"A bill to amend the Mineral Leasing Act to require the Secretary of the Interior to convey to a State all right, title, and interest in and to a percentage of the amount of royalties and other amounts required to be paid to the State under that Act with respect to public land and deposits in the State, and for other purposes.",State Mineral Revenue Protection Act,,,"This bill concerns the distribution of mineral royalty revenues between the federal government and state governments, addressing intergovernmental revenue sharing rather than private employer wage, hour, or benefit obligations."
hr1650-115,115,2017-03-21,Families,Adoption and foster care|Child safety and welfare|Domestic violence and child abuse|Government information and archives|Government studies and investigations|State and local government operations,"To establish a national, research-based, and comprehensive home study assessment process for the evaluation of prospective foster parents and adoptive parents and provide funding to States and Indian tribes to adopt such process.",National Adoption and Foster Care Home Study Act,,,"This bill establishes a home study assessment process for prospective foster and adoptive parents, which relates to child welfare and family services rather than private employer wage, hour, or benefit obligations."
hr6373-111,111,2010-09-29,Health,Health care costs and insurance|Health care coverage and access|Health personnel|Medicaid|Nursing,To amend title XIX of the Social Security Act to improve access to advanced practice nurses and physician assistants under the Medicaid Program.,Medicaid Advanced Practice Nurses and Physician Assistants Access Act of 2009,,,"This bill modifies Medicaid provider reimbursement and managed care network requirements for advanced practice nurses and physician assistants, which are government healthcare program payment policies, not private employer wage, hour, or benefit obligations."
hr5673-113,113,2014-09-19,Immigration,Border security and unlawful immigration|Detention of persons|Education programs funding|Elementary and secondary education|Foreign aid and international relief|Immigrant health and welfare|Intergovernmental relations|Law enforcement administration and funding|Right of privacy|State and local finance,"To direct the Secretary of the Treasury to establish a program to reimburse States and political subdivisions of States for expenses related to the presence of aliens having no lawful immigration status, and for other purposes.",Accountability in Foreign Aid Act of 2014,,,"Bill establishes a reimbursement program for state and local governments' expenses related to undocumented immigrants; it does not regulate private employer wage, hour, or benefit obligations."
hr4936-107,107,2002-06-13,Armed Forces and National Security,Disability retirement|Disabled|Disabled veterans|Military dependents|Military pay|Relocation|Retired military personnel|Travel costs|Veterans' benefits,"To amend title 37, United States Code, to provide a dislocation allowance under section 407 of such title to retired members of the uniformed services and members on the temporary disability retired list moving from their last duty station to their designated home.",Military Retiree Dislocation Assistance Act,,,"This bill addresses relocation allowances for retired military members, which are government employee benefits administered by the Department of Defense, not private employer wage or benefit obligations."
hr4838-106,106,2000-07-12,Immigration,Disabled|Loyalty oaths|Naturalization,To amend the Immigration and Nationality Act to provide a waiver of the oath of renunciation and allegiance for naturalization of aliens having certain disabilities.,,,,"This bill concerns naturalization procedures for immigrants with disabilities and does not address private employer wage, hour, benefit obligations, or any conduct covered by the Wage Hour & Benefits category."
hr6267-109,109,2006-09-29,Taxation,Electric appliances|Energy conservation|Energy efficiency|Fuel cells|Income tax|Solar energy|Tax credits,To amend the Internal Revenue Code of 1986 to permanently extend the credits for residential energy efficient property and new energy efficient homes.,,,,"This bill extends tax credits for residential energy efficiency and does not relate to private employer wage, hour, or benefit obligations."
hr2292-111,111,2009-05-06,Health,Child health|Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Health promotion and preventive care|Income tax deductions,"To amend the Employee Retirement Income Security Act of 1974, the Public Health Service Act, and the Internal Revenue Code of 1986 to require coverage of preventive care for children.",Healthy Kids for Healthy Futures Act of 2009,,,"This bill mandates health insurance coverage requirements for preventive care for children, which relates to health plan design rather than employer wage, hour, or benefit obligations under FLSA, WARN, ERISA pension/retirement plans, or FMLA."
s2935-115,115,2018-05-23,Transportation and Public Works,,"A bill to prioritize and support the Human Intervention Motivation Study (HIMS) program for flight crewmembers and the Flight Attendant Drug and Alcohol Program (FADAP) for flight attendants, and for other purposes.",Transportation Workforce Recovery and Retention Act,,,"This bill addresses substance abuse treatment and return-to-work programs for transportation workers, which relates to workplace safety and employee assistance rather than employer violations of wage, hour, or benefit obligations."
hr4626-110,110,2007-12-13,Finance and Financial Sector,Authorization|Commodity Futures Trading Commission|Fines (Penalties)|Foreign exchange|Futures trading|Government paperwork|Independent regulatory commissions|Information disclosure (Securities law)|Jurisdiction|Market manipulation|Securities fraud|Securities regulation|Sentences (Criminal procedure),"To reauthorize and amend the Commodity Exchange Act to promote legal certainty, enhance competition, and reduce systemic risk in markets for futures and over-the-counter derivatives, and for other purposes.",CFTC Reauthorization Act of 2007,,,"This bill reauthorizes the CFTC and regulates commodity futures trading, market manipulation, and derivatives markets; it does not address private employer wage, hour, or benefit obligations."
hr3968-110,110,2007-10-25,Health,Medical fees|Medical personnel|Medicare|Respiratory diseases,To amend title XVIII of the Social Security Act to provide for Medicare coverage of services of qualified respiratory therapists performed under the general supervision of a physician.,Medicare Respiratory Therapy Initiative Act of 2007,,,"This bill adjusts Medicare reimbursement coverage for respiratory therapist services, which involves government healthcare payment policy rather than private employer wage, hour, or benefit obligations."
hjres124-115,115,2017-12-13,Economics and Public Finance,"Appropriations|Budget process|Caribbean area|Child health|Defense spending|Department of Defense|Digestive and metabolic diseases|Executive agency funding and structure|Gambling|Health care costs and insurance|Health care coverage and access|Health facilities and institutions|Health programs administration and funding|Health promotion and preventive care|Indian social and development programs|Medicaid|Medical education|Medicare|Military procurement, research, weapons development|Minority health|Nuclear weapons|Puerto Rico|Sex and reproductive health|U.S. territories and protectorates|Veterans' medical care|Virgin Islands","Making further additional continuing appropriations for fiscal year 2018, and for other purposes.",,,,"This is a continuing appropriations bill funding government operations and public health programs (CHIP, Medicaid, Medicare, VA healthcare); it does not regulate private employer wage, hour, or benefit obligations."
hr1654-108,108,2003-04-07,Government Operations and Politics,Administrative procedure|Congressional oversight|Congressional reporting requirements|Cost effectiveness|Executive orders|Expedited congressional procedure|Government regulation|House rules and procedure|Legislative resolutions|Monetary policy|Right of petition|Senate rules and procedure,"To amend chapter 8 of title 5, United States Code, to require congressional approval of proposed rules considered by the Congress to be significant rules.",Legislative Oversight of Significant Regulations Act of 2003,,,"This bill establishes a congressional approval process for significant federal agency rules but does not specifically regulate private employer wage, hour, or benefit obligations or introduce related tax incentives."
hr2663-111,111,2009-06-02,Transportation and Public Works,Bankruptcy|Department of Transportation|Executive agency funding and structure|Government lending and loan guarantees|Infrastructure development|Roads and highways|Transportation programs funding,"To amend title 23, United States Code, to increase certain infrastructure finance provisions, and for other purposes.",TIFIA of 2009,,,"This bill concerns federal financing mechanisms for transportation infrastructure projects and does not regulate private employer wage, hour, or benefit obligations."
s4091-109,109,2006-12-06,Social Welfare,"Appropriations|Government trust funds|Income tax|Old age, survivors and disability insurance|Social security finance|Withholding tax","A bill to provide authority for restoration of the Social Security Trust Funds from the effects of a clerical error, and for other purposes.",Social Security Trust Funds Restoration Act of 2006,,,"Bill addresses restoration of Social Security Trust Funds due to a government accounting error involving tax withholding transfers, not private employer wage, hour, or benefit obligations."
s312-111,111,2009-01-22,Taxation,Housing finance and home ownership|Income tax credits,A bill to amend the Internal Revenue Code of 1986 to allow a refundable credit against income tax for the purchase of a principal residence by a first-time homebuyer.,First-Time Homebuyers' Tax Credit Act of 2009,,,"This bill provides a tax credit to individual homebuyers for purchasing a residence, which has no connection to private employer wage, hour, or benefit obligations."
hr2083-114,114,2015-04-29,Health,Employment discrimination and employee rights|Health care quality|Health information and medical records|Health personnel|Hospital care|Medicare|Nursing,"To amend title XVIII of the Social Security Act to provide for patient protection by establishing safe nurse staffing levels at certain Medicare providers, and for other purposes.",Registered Nurse Safe Staffing Act of 2015,,,"This bill regulates nurse staffing ratios at Medicare-participating hospitals and establishes whistleblower protections, but it addresses healthcare quality and patient safety standards rather than employer wage, hour, or benefit obligations covered under FLSA, WARN, ERISA, or FMLA."
hr3526-111,111,2009-07-31,Crime and Law Enforcement,Advisory bodies|Crime prevention|Juvenile crime and gang violence|Law enforcement administration and funding|Violent crime,"To provide definitions of terms and services related to community-based gang intervention to ensure that funding for such intervention is utilized in a cost-effective manner and that community-based agencies are held accountable for providing holistic, integrated intervention services, and for other purposes.",Tony Cardenas Community-Based Gang Intervention Act,,,"This bill addresses gang violence prevention through community-based intervention programs and grant funding, but does not regulate private employer wage, hour, benefit obligations, or any conduct constituting employer misconduct under the Wage Hour & Benefits category."
hr1553-110,110,2007-03-15,Health,Cancer|Child health|Clinical trials|Communication in medicine|Data banks|Federal aid to research|Grants-in-aid|Health education|Health information systems|Medical research|Preventive medicine|Research grants,"To amend the Public Health Service Act to advance medical research and treatments into pediatric cancers, ensure patients and families have access to information regarding pediatric cancers and current treatments for such cancers, establish a national childhood cancer registry, and promote public awareness of pediatric cancer.",Caroline Pryce Walker Conquer Childhood Cancer Act of 2008,,,"This bill addresses pediatric cancer research, patient information systems, and disease registries through federal grants and CDC activities; it does not regulate private employer wage, hour, or benefit obligations."
hr2518-111,111,2009-05-20,Law,Civil actions and liability|Evidence and witnesses|Manufacturing|Product safety and quality|Retail and wholesale trades,To prevent undue disruption of interstate commerce by limiting civil actions brought against persons whose only role with regard to a product in the stream of commerce is as a lawful seller of the product.,Innocent Sellers Fairness Act,,,"This bill addresses product liability and tort reform for sellers in the stream of commerce, which relates to civil litigation standards rather than employer wage, hour, or benefit obligations."
hr6145-110,110,2008-05-22,"Science, Technology, Communications",Child safety|Computer crimes|Electronic mail systems|Elementary and secondary education|Elementary education|Internet|Libraries|Secondary education|Telecommunication rates|Web sites,"To amend the Communications Act of 1934 to include within the certification required for certain schools and libraries having computers with Internet access that receive services at discounted rates that, as part of the required Internet safety policy, the schools and libraries are educating minors about safe online behavior.",Protecting Our Children Online Act of 2008,,,"This bill mandates Internet safety education requirements for schools and libraries receiving discounted telecommunications services, but does not regulate private employer wage, hour, or benefit obligations."
s1841-113,113,2013-12-17,Economics and Public Finance,Appropriations|Budget process|Defense spending|Department of Defense|Executive agency funding and structure,"A bill to mitigate the reduction in the readiness of our Armed Forces by reducing the defense sequestration cuts for fiscal years 2014 and 2015 but implementing the cuts, in their entirety, over the duration of sequestration.",,,,"This bill adjusts the timing of defense budget sequestration cuts across fiscal years, addressing federal government spending and appropriations rather than private employer wage, hour, or benefit obligations."
hr342-114,114,2015-01-14,Armed Forces and National Security,Disability assistance|Military facilities and property|Military personnel and dependents|Retail and wholesale trades,"To amend title 10, United States Code, to extend military commissary and exchange store privileges, without time-period limitation, to members of the Armed Forces who are involuntarily separated with a service-connected disability and also to extend such privileges to their dependents.",,,,"This bill extends military commissary and exchange privileges to service members with service-connected disabilities and their dependents, which involves government-administered benefits for military personnel rather than private employer wage, hour, or benefit obligations."
hr4609-107,107,2002-04-25,Water Resources Development,Aquifers|Congressional reporting requirements|Governmental investigations|Groundwater|Hydrology|Idaho|Washington State,"To direct the Secretary of the Interior to conduct a comprehensive study of the Rathdrum Prairie/Spokane Valley Aquifer, located in Idaho and Washington.",,,,"This bill directs a study of an aquifer to establish a groundwater resource model for two states; it does not regulate or incentivize private employer conduct related to wages, hours, benefits, or any other form of corporate misconduct."
s3171-112,112,2012-05-10,Foreign Trade and International Finance,Tariffs,A bill to extend the temporary suspension of duty on Nylostab seed.,,,,"This bill concerns tariff suspension on an imported product (Nylostab seed) and does not relate to private employer wage, hour, benefit obligations, or any conduct covered by FLSA, WARN Act, ERISA, or FMLA."
hr6365-110,110,2008-06-25,Health,Administrative procedure|Age|Chronically ill|Department of Health and Human Services|Executive reorganization|Federal-state relations|Governmental investigations|Health insurance|Intergovernmental fiscal relations|Managed care|Medicaid|Medicare|Risk,To amend part C of title XVIII of the Social Security Act with respect to Medicare special needs plans and the alignment of Medicare and Medicaid for dually eligible individuals.,Medicare Special Needs Plans Extension and Amendments Act of 2008,,,"This bill addresses Medicare and Medicaid program administration, managed care plan requirements, and coordination of government healthcare benefits for dual-eligible individuals, but does not regulate private employer wage, hour, or benefit obligations."
hr1557-108,108,2003-04-02,Taxation,Government publicity|Identification devices|Income tax|Mass media|Tax refunds|Tax returns|Taxpayers,To amend the Internal Revenue Code of 1986 to allow the Secretary of the Treasury to disclose taxpayer identity information through mass communications to notify persons entitled to tax refunds.,IRS Refund Accessibility Act of 2003,,,"This bill concerns IRS procedures for notifying taxpayers about unclaimed tax refunds and does not regulate private employer wage, hour, or benefit obligations."
hr908-111,111,2009-02-04,Crime and Law Enforcement,Aging|Department of Justice|Emergency communications systems|Executive agency funding and structure|Law enforcement administration and funding|Neurological disorders,To amend the Violent Crime Control and Law Enforcement Act of 1994 to reauthorize the Missing Alzheimer's Disease Patient Alert Program.,Missing Alzheimer's Disease Patient Alert Program Reauthorization of 2009,,,"This bill reauthorizes a program to help locate missing Alzheimer's patients and elderly individuals through grants to nonprofit organizations; it does not regulate private employer wage, hour, or benefit obligations."
s460-108,108,2003-02-26,Immigration,Aliens|Authorization|Compensation (Law)|Criminal aliens|Department of Homeland Security|Federal aid to law enforcement|Illegal aliens|Imprisonment|Intergovernmental fiscal relations,A bill to amend the Immigration and Nationality Act to authorize appropriations for fiscal years 2004 through 2010 to carry out the State Criminal Alien Assistance Program.,State Criminal Alien Assistance Program Reauthorization Act of 2003,,,"This bill authorizes federal appropriations to reimburse state and local governments for costs of incarcerating criminal aliens, which involves intergovernmental fiscal relations and law enforcement funding, not private employer wage, hour, or benefit obligations."
hr6556-115,115,2018-07-26,Government Operations and Politics,"Congressional tributes|Government buildings, facilities, and property|Postal service|Virginia","To designate the facility of the United States Postal Service located at 301 East Third Street in Farmville, Virginia, as the ""Barbara Rose Johns Post Office"".",,,,"This bill designates a post office name and does not relate to private employer wage, hour, or benefit obligations."
hr4374-115,115,2017-11-13,Health,"Blood and blood diseases|Chemical and biological weapons|Conflicts and wars|Drug safety, medical device, and laboratory regulation|Drug therapy|Emergency medical services and trauma care|Government studies and investigations|Health promotion and preventive care|Immunology and vaccination|Licensing and registrations|Military medicine|Nuclear weapons","To amend the Federal Food, Drug, and Cosmetic Act to authorize additional emergency uses for medical products to reduce deaths and severity of injuries caused by agents of war, and for other purposes.",,,,"This bill addresses FDA emergency authorization procedures for medical products in military contexts, not private employer wage, hour, or benefit obligations."
hr5203-112,112,2012-04-27,Foreign Trade and International Finance,Tariffs,To suspend temporarily the duty on certain woven fiberglass window shade material with acrylic coating.,,,,"This bill suspends import duties on specific fiberglass materials and relates to international trade tariffs, not to private employer wage, hour, or benefit obligations."
hr5556-113,113,2014-09-18,Health,Health information and medical records|Home and outpatient care|Medicare|Surgery and anesthesia,"To amend title XVIII of the Social Security Act with respect to the treatment of patient encounters in ambulatory surgical centers in determining meaningful EHR use, and for other purposes.",Electronic Health Fairness Act of 2014,,,"This bill modifies Medicare EHR meaningful use requirements for healthcare professionals in ambulatory surgical centers, addressing government reimbursement program criteria rather than private employer wage, hour, or benefit obligations."
s3413-109,109,2006-06-06,Private Legislation,Private Legislation|Tariff,"A bill to provide for the liquidation or reliquidation of certain entries of educational toys entered in November 1 through December 11, 2004.",,,,"This bill addresses customs duties and tariff liquidation for imported educational toys, which relates to trade and customs law, not to private employer wage, hour, or benefit obligations."
hr436-108,108,2003-01-29,Taxation,Armed forces abroad|Armed forces reserves|Arms control|Congress and foreign policy|Congress and military policy|Congressional oversight|East Asia|Income tax|Iraq|Iraq compilation|Middle East and North Africa|Military occupation|Military operations|Military posture|Military withdrawal|North Korea|Nuclear nonproliferation|Nuclear weapons|President and foreign policy|Tax credits|Tax deductions|Tax exclusion|Tax exemption|Tax rates|Terrorism,To suspend the phasein of additional tax reductions under the Economic Growth and Tax Relief Reconciliation Act of 2001 while the United States is in a state of war or on high military alert.,War Should Involve Shared Sacrifice Act of 2003,,,"This bill suspends tax reductions during wartime but does not regulate private employer wage, hour, or benefit obligations, nor does it introduce or remove tax credits specifically incentivizing employer conduct related to those obligations."
hr6324-115,115,2018-07-10,Finance and Financial Sector,,"To require the Securities and Exchange Commission to carry out a study of the direct and indirect underwriting fees, including gross spreads, for mid-sized initial public offerings.",Middle Market IPO Underwriting Cost Act,,,"This bill requires a study of underwriting fees for initial public offerings, which relates to securities regulation and capital markets, not to private employer wage, hour, or benefit obligations."
hr2745-108,108,2003-07-15,Taxation,Athletes|Capital gains tax|Government paperwork|Income tax|Labor contracts|Licenses|Metropolitan areas|Television broadcasting of sports|Television stations|Urban affairs|Valuation,To amend the Internal Revenue Code of 1986 to require a sports franchise to provide for all of the games played by the franchise to be available for local television broadcasting in order to be subject to the presumption that 50 percent of the consideration in the sale or exchange of a sports franchise is allocable to player contracts.,Baseball Fan Protection Act,,,"This bill addresses tax treatment of sports franchise sales and broadcasting rights allocation, not private employer wage, hour, or benefit obligations to employees."
s93-109,109,2005-01-24,Transportation and Public Works,Administrative remedies|Agriculture in foreign trade|Cargo preference|Congressional reporting requirements|Department of Transportation|Executive reorganization|Fines (Penalties)|Merchant ships,"A bill to increase the role of the Secretary of Transportation in administering section 901 of the Merchant Marine Act, 1936, and for other purposes.",,,,"This bill addresses cargo preference requirements for U.S.-flag commercial vessels in government-generated shipments, which relates to maritime transportation policy and vessel operations, not private employer wage, hour, or benefit obligations."
hr2947-115,115,2017-06-20,Public Lands and Natural Resources,"Florida|Marine and coastal resources, fisheries|Seashores and lakeshores",To replace certain Coastal Barrier Resources System maps.,Strengthening Coastal Communities Act of 2017,,,"Bill modifies coastal barrier resource system boundaries in Florida; it does not address private employer wage, hour, benefit obligations, or any conduct related to employment law violations."
hr1630-108,108,2003-04-03,Public Lands and Natural Resources,Archaeology|Arizona|Boundaries|Grazing|History|Land transfers|National parks|Paleontology,"To revise the boundary of the Petrified Forest National Park in the State of Arizona, and for other purposes.",Petrified Forest National Park Expansion Act of 2004,,,"This bill revises boundaries and land management for Petrified Forest National Park; it does not regulate private employer wage, hour, or benefit obligations."
hr3156-113,113,2013-09-19,Finance and Financial Sector,Disaster relief and insurance|Floods and storm protection|State and local government operations,To reform the Biggert-Waters Flood Insurance Reform Act of 2012 to responsibly protect homeownership.,Responsible Implementation of Flood Insurance Reform Act of 2013,,,"This bill reforms flood insurance premium rates and mapping requirements under the National Flood Insurance Program, which involves government-administered insurance policy, not private employer wage, hour, or benefit obligations."
hr4497-113,113,2014-04-28,Taxation,"Business expenses|Charitable contributions|Disaster relief and insurance|Income tax deductions|Natural disasters|Social work, volunteer service, charitable organizations","To amend the Internal Revenue Code of 1986 to provide tax relief for damages relating to federally declared disasters during September 2013, and for other purposes.",,,,"This bill provides tax relief for disaster-related business expenses and charitable contributions, but does not regulate or incentivize private employer conduct related to wage, hour, or benefit obligations."
hr3838-109,109,2005-09-20,Government Operations and Politics,Affiliated corporations|Alabama|Auditing|Competitive bidding|Conflict of interests|Congressional agencies|Congressional investigations|Congressional reorganization|Congressional reporting requirements|Credit cards|Data banks|Defense contracts|Defense procurement|Disaster relief|Energy prices|Federal employees|Federal officials|Fines (Penalties)|Floods|Fraud|Gas companies|Gas industry|Government contractors|Government ethics|Government paperwork|Government procurement|Government publicity|Government service contracts|Hurricane aftermath legislation|Hurricanes|Joint ventures|Lawyers|Lobbying|Louisiana|Market manipulation|Misconduct in office|Mississippi|Natural gas|Performance measurement|Petroleum|Petroleum industry|Petroleum refineries|Privatization|Profit|Small business|Subcontractors|Subsidiary corporations|Waste in government spending,"To establish the Independent Commission to Prevent Fraud and Abuse in the Response to Hurricane Katrina, and for other purposes.",Hurricane Katrina Accountability and Contracting Reform Act,,,"This bill addresses government contracting fraud, waste, and abuse in Hurricane Katrina recovery efforts, focusing on procurement oversight and conflicts of interest in government contracts, not private employer wage, hour, or benefit obligations."
s2503-108,108,2004-06-03,Taxation,Capital gains tax|Dividends|Income tax|Sunset legislation|Tax rates,A bill to make permanent the reduction in taxes on dividends and capital gains.,,,,"This bill addresses individual income tax rates on investment income (dividends and capital gains), not private employer obligations related to wages, overtime, pensions, or employee benefits."
s1894-109,109,2005-10-19,Families,Foster home care,A bill to amend part E of title IV of the Social Security Act to provide for the making of foster care maintenance payments to private for-profit agencies.,Fair Access Foster Care Act of 2005,,,"This bill addresses foster care maintenance payments under the Social Security Act to private for-profit agencies, which relates to government social services funding rather than private employer wage, hour, or benefit obligations."
hr4349-109,109,2005-11-16,Health,Accreditation (Medical care)|Ambulatory care|Case mix (Medical care)|Clinics|Congressional reporting requirements|Consumer complaints|Consumer education|Disciplining of employees|Discrimination in employment|Dismissal of employees|Drug utilization|Electronic government information|Fines (Penalties)|Government paperwork|Government publicity|Hospital care|Hospital personnel|Hours of labor|Internet|Kidney diseases|Licenses|Medicaid|Medical records|Medical statistics|Medicare|Mortality|Nurses|Occupational health and safety|Paramedical personnel|Psychiatric hospitals|Quality of care|Rural health|Surgery|Ulcers|Urology|Web sites|Whistle blowing,To require Medicare providers to disclose publicly staffing and performance in order to promote improved consumer information and choice.,Patient Safety Act of 2005,,,"This bill mandates public disclosure of staffing and performance data by Medicare providers and protects whistleblowers, but does not regulate private employer wage, hour, or benefit obligations; it addresses healthcare quality transparency and patient safety rather than employer wage/hour misconduct."
hr4863-107,107,2002-06-04,,Private Legislation,For the relief of Rodney Allan Green and Wendy Sharon Green.,,,,"This is a private immigration relief bill for two specific individuals seeking permanent residence status, with no connection to employer wage, hour, or benefit obligations."
hr217-115,115,2017-01-03,Health,Abortion|Congressional oversight|Family planning and birth control|Health facilities and institutions|Health programs administration and funding,"To amend title X of the Public Health Service Act to prohibit family planning grants from being awarded to any entity that performs abortions, and for other purposes.",Title X Abortion Provider Prohibition Act,,,"This bill restricts federal family planning grants based on abortion-related criteria and does not regulate private employer wage, hour, benefit obligations, or related misconduct."
hr3833-107,107,2002-03-04,"Science, Technology, Communications",Administrative remedies|Child safety|Child welfare|Competitive bidding|Computer security measures|Computer software|Congressional reporting requirements|Contracts|Government contractors|Government paperwork|Government publicity|Identification devices|Internet|Licenses|Parents|Pornography|Standards|Subcontractors|Violence in mass media|Web sites,"To facilitate the creation of a new, second-level Internet domain within the United States country code domain that will be a haven for material that promotes positive experiences for children and families using the Internet, provides a safe online environment for children, and helps to prevent children from being exposed to harmful material on the Internet, and for other purposes.",Dot Kids Implementation and Efficiency Act of 2002,,,"This bill establishes a child-safe Internet domain and sets content standards for online material, which does not relate to private employer wage, hour, or benefit obligations."
s3207-106,106,2000-10-13,Water Resources Development,Federal aid to rural areas|Federal aid to water resources development|Groundwater|Nonprofit organizations|Rural conditions|Wells,"A bill to amend the Consolidated Farm and Rural Development Act to authorize the Secretary of Agriculture to make grants to nonprofit organizations to finance the construction, refurbishing, and servicing of individually-owned household water well systems in rural areas for individuals with low or moderate incomes.",Affordable Drinking Water Act of 2000,,,"This bill authorizes grants to nonprofit organizations for household water well systems in rural areas; it does not regulate private employer wage, hour, or benefit obligations."
s2586-107,107,2002-06-05,Armed Forces and National Security,EBB Terrorism|Electronic surveillance|Foreign agents|Terrorism|Warrants (Law),"A bill to exclude United States persons from the definition of ""foreign power"" under the Foreign Intelligence Surveillance Act of 1978 relating to international terrorism.",,,,"This bill concerns foreign intelligence surveillance and national security law, not private employer obligations related to wages, hours, benefits, or protected leave."
hr3306-108,108,2003-10-16,Immigration,Administrative procedure|Admission of nonimmigrants|Aliens|Death|Department of Homeland Security|Diseases|Evidence (Law)|Grandparents|Married people|Parents|Siblings|Visas,"To amend the Immigration and Nationality Act to remove from an alien the initial burden of establishing that he or she is entitled to nonimmigrant status under section 101(a)(15)(B) of such Act, in the case of certain aliens seeking to enter the United States for a temporary stay occasioned by the serious illness or death of a United States citizen or an alien lawfully admitted for permanent residence, and for other purposes.",Compassionate Visitor Visa Act,,,"This bill addresses immigration visa procedures for foreign nationals seeking temporary entry to the U.S. due to family emergencies and does not regulate private employer wage, hour, benefit obligations, or related corporate misconduct."
hr816-110,110,2007-02-05,Public Lands and Natural Resources,Flood control|Land use|Nevada|Right-of-way|Wilderness areas,To provide for the release of certain land from the Sunrise Mountain Instant Study Area in the State of Nevada and to grant a right-of-way across the released land for the construction and maintenance of a flood control project.,Orchard Detention Basin Flood Control Act,,,"This bill addresses wilderness land management and flood control infrastructure on public lands in Nevada, with no connection to private employer wage, hour, or benefit obligations."
hr4120-113,113,2014-02-28,Crime and Law Enforcement,"District of Columbia|Law enforcement officers|Museums, exhibitions, cultural centers",To amend the National Law Enforcement Museum Act to extend the termination date.,,,,"Bill extends construction authority for a museum and does not regulate private employer wage, hour, or benefit obligations."
s3431-110,110,2008-08-01,Education,Academic performance|Colleges|Community and school|Congressional reporting requirements|Education of the disadvantaged|Educational accountability|Educational innovations|Elementary and secondary education|Elementary education|Federal aid to education|Government paperwork|Higher education|Nonprofit organizations|School administration|Secondary education|Year round schools,"A bill to establish expanded learning time initiatives, and for other purposes.",Time for Innovation Matters in Education Act of 2008,,,"This bill funds educational initiatives to expand school learning time at high-need schools; it does not regulate private employer wage, hour, or benefit obligations."
s2323-112,112,2012-04-19,Economics and Public Finance,Appropriations|Atmospheric science and weather|Department of Commerce|Department of Justice|Executive Office of the President|Executive agency funding and structure|Law enforcement administration and funding|National Aeronautics and Space Administration|National Science Foundation|Space flight and exploration,"An original bill making appropriations for Departments of Commerce and Justice, and Science, and Related Agencies for the fiscal year ending September 30, 2013, and for other purposes.","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2013",,,"This is an appropriations bill funding federal agencies and departments; it does not regulate private employer wage, hour, or benefit obligations."
hr3148-110,110,2007-07-24,Crime and Law Enforcement,Child abuse|Child labor|Child pornography|Child sexual abuse|Compensation for victims of crime|Computer crimes|Conspiracy|Criminal justice information|Fines (Penalties)|Forced labor|Government paperwork|Internet|Mandatory sentences|Negligence|Prosecution|Prostitution|Recidivists|Slavery,To eliminate child pornography.,Child Pornography Elimination Act of 2007,,,"This bill addresses criminal penalties for child pornography and human trafficking offenses, not private employer wage, hour, or benefit obligations."
