bill_id,congress_term,introduced_at,official_title,short_title,policy_area,subjects,category_ids,category_labels,bill_type,reason,summary
hr3748-106,106,2000-02-29,To extend the temporary suspension of duty on certain organic pigments and dyes.,,Foreign Trade and International Finance,Dyes and dyeing|Tariff,,,,"This bill relates to tariff suspensions on organic pigments and dyes and does not address any private employer wage, hour, or benefit obligations.","Amends the Harmonized Tariff Schedule of the United States to suspend, through December 31, 2003, the duty on certain organic pigments and dyes."
hr3809-111,111,2009-10-14,To amend the Internal Revenue Code of 1986 to allow a deduction for unreimbursed funeral expenses with respect to a deceased indigent individual.,Indigent Funeral Expense Reimbursement Act of 2009,Taxation,Income tax deductions|Poverty and welfare assistance,,,,"This bill provides a tax deduction for funeral homes for unreimbursed expenses related to indigent individuals and does not relate to private employer wage, hour, or benefit obligations.","Indigent Funeral Expense Reimbursement Act of 2009 - Amends the Internal Revenue Code to allow a funeral home proprietor a tax deduction for the unreimbursed expense of providing funeral or burial goods and services for a deceased indigent individual. Limits the annual amount of such deduction to $3,000."
s1215-112,112,2011-06-16,"A bill to provide for the exchange of land located in the Lowell National Historical Park, and for other purposes.",Lowell National Historical Park Land Exchange Act of 2011,Public Lands and Natural Resources,"Historic sites and heritage areas|Land transfers|Massachusetts|Parks, recreation areas, trails",,,,"This bill concerns a land exchange within a National Historical Park and does not relate to private employer wage, hour, or benefit obligations.","Lowell National Historical Park Land Exchange Act of 2011 - Authorizes the Secretary of the Interior to exchange any federal land or interest within the boundaries of Lowell National Historical Park in Massachusetts for any non-federal land or interest owned by the state of Massachusetts, the city of Lowell, or the University of Massachusetts Building Authority. Requires, if facilities or infrastructure required for the management and operation of the Park are located on the federal land to be exchanged and the value of the federal and non-federal land is not of equal value, the value shall be equalized by the making of a cash equalization payment to the Secretary. Requires any such payments received by the Secretary to be credited to a special account in the Treasury and made available for the replacement of such facilities and infrastructure. Bars the Secretary from being required to equalize the value of the federal and non-federal land if the non-federal land exceeds the value of the federal land. Requires loans made by the Lowell Historic Preservation Commission to the Lowell Development and Financial Corporation to enable the Corporation to provide low interest loans for the preservation, restoration, or development of certain property in the Park or Lowell Historic Preservation District because of its national historic or cultural significance to have a maturity of 60 years (under current law, 35 years)."
hr1226-110,110,2007-02-28,"To amend title 38, United States Code, to expand eligibility for the basic educational assistance program of the Department of Veterans Affairs.",,Armed Forces and National Security,Officer personnel|Veterans' benefits|Veterans' education,,,,"This bill expands eligibility for veterans' educational benefits, which does not relate to private employer wage, hour, or benefit obligations.",Expands the eligibility of certain commissioned officers of the Armed Forces for the basic educational assistance program of the Department of Veterans Affairs.
s2816-106,106,2000-06-29,"A bill to provide the financial mechanisms, resource protections, and professional skills necessary for high quality stewardship of the National Park System, to commemorate the heritage of people of the United States to invest in the legacy of the national Park System, and to recognize the importance of high quality outdoor recreational opportunities on federally managed land.",National Parks Stewardship Act,Public Lands and Natural Resources,Administrative procedure|Anthropology|Archives|Business education|Collection of accounts|Commemorations|Computers and government|Congressional reporting requirements|Conservation of natural resources|Construction costs|Cultural property|Department of the Interior|Elementary and secondary education|Environmental assessment|Environmental degradation|Environmental education|Ethnic groups|Federal budget process|Federal employees|Federal officials|Federal-Indian relations|Federal-local relations|Federal-state relations|Fines (Penalties)|Government publicity|Government securities|Government service contracts|Government trust funds|Graduate education|Habitat conservation|Higher education|Historic sites|History|Indian lands|Infrastructure|Infrastructure (Economics)|Internet|Land use|Language and languages|Larceny|Legislation|Maintenance and repair|Management|Minorities|Multiculturalism|National forests|National parks|National recreation areas|Nature conservation|Outdoor recreation|Personnel management|Pluralism (Social sciences)|Promotions|Public administration|Racial discrimination|Recruiting of employees|Scholarships|Signs and signboards|Student loan funds|Students|Surety and fidelity|Telephone|Tourism|Traffic accidents and safety|User charges|Volunteer workers in recreation,,,,"The bill focuses on the stewardship of the National Park System and does not directly regulate or incentivize private employer wage, hour, or benefit obligations.","TABLE OF CONTENTS: Title I: Financial Resources Title II: Park Resource Preservation Title III: National Park System Representation Title IV: Human Resources for National Parks National Parks Stewardship Act - Title I: Financial Resources - Requires the Secretary of the Treasury to report to Congress on a program to issue revenue bonds to finance improvements at national parks.Authorizes the collection of fees for admission to an area under the jurisdiction of the National Park Service (NPS), Fish and Wildlife Service, Bureau of Land Management, Bureau of Reclamation, and Forest Service and for use of such agencies' recreation areas, sites, and services.Authorizes challenge cost-share agreements to carry out NPS projects that are mutually beneficial and enhance NPS activities or services.Title II: Park Resource Preservation - Sets forth prohibitions on activities that are incompatible with conservation and preservation of national park resources.Requires the Secretary of the Interior to report to Congress on national park units that face the most serious impacts on resources from proposed actions or occurrences outside unit boundaries.Title III: National Park System Representation - Sets forth requirements for the Secretary with respect to ethnic and cultural representation of the National Park System.Title IV: Human Resources for National Parks - Directs the Secretary to establish a pilot Professionals for Parks Program.Requires the Director of the Office of Personnel Management to report to Congress on qualifications for national park management positions."
hr6394-111,111,2010-09-29,"To amend the Marine Mammal Protection Act of 1972 to allow transport, purchase, sale, and export of pelts of Southcentral and Southeast Alaska northern sea otters that are taken for subsistence purposes.",,Animals,"Animal protection and human-animal relationships|Endangered and threatened species|Mammals|Marine and coastal resources, fisheries|Retail and wholesale trades|Trade restrictions",,,,"This bill concerns the sale of sea otter pelts taken for subsistence purposes and does not relate to any private employer wage, hour, or benefit obligations.","Amends the Marine Mammal Protection Act of 1972 to allow the transport, purchase, sale, or export of Southcentral or Southeast Alaskan otter pelts taken for certain subsistence purposes."
hr2668-111,111,2009-06-02,"To provide for the offering of an American Trust Health Plan to provide choice in health insurance options so as to ensure quality, affordable health coverage for all Americans.",Choice in Health Options Insures Care for Everyone (CHOICE) Act of 2009,Health,Advisory bodies|Department of Health and Human Services|Employee benefits and pensions|Executive agency funding and structure|Health care costs and insurance|Health care coverage and access|Medicare,,,,"The bill establishes a new health plan and focuses on health insurance coverage and access, but does not directly regulate or enforce private employer wage, hour, or benefit obligations, nor does it introduce tax credits related to those obligations.",Choice in Health Options Insures Care for Everyone (CHOICE) Act of 2009 - Establishes the American Trust Health Plan to offer eligible individuals health benefits coverage. Requires the Plan to comply with all requirements that are applicable with respect to other health benefit plans to be offered through a National Health Insurance Exchange. (The Exchange has not yet been established.) Exempts the Plan from state insurance regulations. Treats enrollment with the Plan as satisfying any requirement under federal law for the individual to demonstrate enrollment in health insurance or benefits coverage. Sets forth provisions regarding administration of the Plan. Requires the Plan to be financially self-sustaining insofar as funds to operate the Plan shall be derived from premiums of individuals enrolled under the Plan. Makes the Plan eligible to accept subsides to the same extent as other health benefit plans offered through an Exchange. Prohibits significant changes to the Plan without public notice. Conditions a health care provider's continued participation in the Medicare program on participation in the American Trust Health Plan. Sets payment for health care providers under the Plan at 105% of the payment rates under Medicare. Requires the Administrator of the Plan to set the benefit level and the premiums.
hr642-107,107,2001-02-14,"To reauthorize the Chesapeake Bay Office of the National Oceanic and Atmospheric Administration, and for other purposes.",,Public Lands and Natural Resources,"Acid rain|Aquatic ecology|Aquatic plants|Authorization|Chesapeake Bay|Coastal zone|Community organization|Congressional reporting requirements|Department of Commerce|Ecological research|Ecosystem management|Environmental monitoring|Estuaries|Estuarine area conservation|Estuarine ecology|Estuarine fisheries|Estuarine oceanography|Estuarine pollution|Executive reorganization|Exotic animals|Exotic plants|Federal aid to water pollution control|Federal aid to water resources development|Fishery management|Government paperwork|Habitat conservation|Laboratories|Marine and coastal resources, fisheries|Marine ecology|Marine pollution|Oceanographic research|Reefs|Remote sensing|Restoration ecology|Shellfish|Shellfish fisheries|Space activities|Tax-exempt organizations|Watershed management|Wetland restoration",,,,"This bill focuses on the Chesapeake Bay and NOAA programs, with no substantive connection to private employer wage, hour, or benefit obligations.","Authorizes appropriations for the Chesapeake Bay Office (currently, the Chesapeake Bay Estuarine Resources Office) of the National Oceanic and Atmospheric Administration through FY 2006 and revises the functions of such Office, including providing for a community-based fishery and habitat restoration small grants and technical assistance program."
hr6399-110,110,2008-06-26,To amend title II of the Social Security Act to prohibit the display of Social Security account numbers on Medicare cards.,Medicare Card Security Act of 2008,Health,Identification devices|Medicare|Social security numbers,,,,"This bill concerns the security of Social Security numbers on Medicare cards and does not relate to private employer wage, hour, or benefit obligations.","Medicare Card Security Act of 2008 - Amends title II (Old Age, Survivors and Disability Insurance) (OASDI) of the Social Security Act to direct the Commissioner of Social Security and the Secretary of Health and Human Services to ensure that Social Security numbers are not displayed on Medicare cards."
hr2863-112,112,2011-09-07,To amend title XVIII of the Social Security Act to permit physical therapy services to be furnished under the Medicare Program to individuals under the care of a dentist.,Medicare Oral Health Rehabilitative Enhancement Act of 2011,Health,Allied health services|Dental care|Medicare,,,,"This bill relates to Medicare coverage for physical therapy provided under the care of a dentist and does not address private employer wage, hour, or benefit obligations.",Medicare Oral Health Rehabilitative Enhancement Act of 2011 - Amends title XVIII (Medicare) of the Social Security Act to permit physical therapy to be furnished under the Medicare program to individuals under the care of a dentist.
hr868-114,114,2015-02-11,"To provide for coordination between the TRICARE program and eligibility for making contributions to a health savings account, and for other purposes.",Veterans TRICARE Choice Act,Armed Forces and National Security,Congressional oversight|Government information and archives|Health care costs and insurance|Income tax deductions|Income tax exclusion|Military medicine|Military personnel and dependents,,,,"The bill relates to coordination between the TRICARE program and health savings accounts for individuals eligible for DOD healthcare; it does not regulate private employer wage, hour, or benefit obligations.","Veterans TRICARE Choice Act

 Allows an individual who is eligible to participate in the TRICARE program (a Department of Defense [DOD] managed health care program) to: (1) elect to be ineligible to enroll in such program, (2) make tax deductible contributions to a health savings account during the period such individual elects to be ineligible for TRICARE coverage, and (3) enroll in the TRICARE program at a later date during a special enrollment period.

Requires DOD to: (1) submit to the Internal Revenue Service information on each TRICARE-eligible individual who makes such election for purposes of determining such individual's eligibility for a health savings account; and (2) report to Congress, annually, on elections by TRICARE-eligible individuals under this Act."
hr3852-108,108,2004-02-26,To extend the benefits of the weatherization assistance program under part A of title IV of the Energy Conservation and Production Act to Puerto Rico and the United States Virgin Islands.,,Energy,Energy assistance for the poor|Energy conservation|Puerto Rico|Virgin Islands,,,,"The bill extends weatherization assistance to Puerto Rico and the U.S. Virgin Islands, which does not relate to private employer wage, hour, or benefit obligations.",Amends the Energy Conservation and Production Act to extend the low-income weatherization assistance program to Puerto Rico and the United States Virgin Islands.
hr598-108,108,2003-02-05,To establish a commission to study the establishment of a national education museum and archive for the United States.,,"Arts, Culture, Religion",Archives|Elementary and secondary education|Federal advisory bodies|Higher education|History|Museums,,,,"The bill concerns the establishment of a national education museum and archive and does not relate to private employer wage, hour, or benefit obligations.","Directs the Secretary of Education to appoint a national commission, including representatives from both the public and private sectors, to study the development, creation, and operation of a national education museum and archive."
hr5995-111,111,2010-07-30,To amend the Internal Revenue Code of 1986 to deny the trade or business expense deduction for damages paid pursuant to the Oil Pollution Act of 1990.,Closing Oil Spill Tax Loopholes Act of 2010,Taxation,Income tax deductions|Oil and gas|Pollution liability,,,,"This bill concerns the tax deductibility of damages paid under the Oil Pollution Act of 1990 and does not relate to private employer wage, hour, or benefit obligations.",Closing Oil Spill Tax Loopholes Act of 2010 - Amends the Internal Revenue Code to deny a tax deduction for payment of any claim for damages under the Oil Spill Pollution Act of 1990 with respect to any discharge of oil.
hr1208-114,114,2015-03-03,To establish the Sacramento-San Joaquin Delta National Heritage Area.,Sacramento-San Joaquin Delta National Heritage Area Establishment Act,Public Lands and Natural Resources,California|Historic sites and heritage areas|Lakes and rivers,,,,"This bill establishes a National Heritage Area and relates to historic preservation and land management; it does not address private employer wage, hour, or benefit obligations.","Sacramento-San Joaquin Delta National Heritage Area Establishment Act

Establishes the Sacramento-San Joaquin Delta National Heritage Area in California.

Designates the Delta Protection Commission as the local coordinating entity for the Heritage Area.

Requires the Commission to submit a proposed management plan for the Heritage Area to the Department of the Interior for approval.

Bars approval of the management plan until Interior has received certification from the Commission that the Delta Stewardship Council has reviewed such plan for consistency with the plan adopted by the Council pursuant to state law."
hr6351-112,112,2012-08-02,To amend chapter 1 of title 9 of United States Code with respect to arbitration.,Fairness in Nursing Home Arbitration Act of 2012,Law,"Aging|Alternative dispute resolution, mediation, arbitration|Contracts and agency|Health facilities and institutions|Long-term, rehabilitative, and terminal care",1,Wage Hour & Benefits,enforcement,"The bill prohibits pre-dispute arbitration agreements in long-term care facilities, directly affecting the rights of residents and potentially increasing the liability of these facilities for failing to meet care standards, which can relate to wage and benefit issues for facility staff.",Fairness in Nursing Home Arbitration Act of 2012 - Provides that a pre-dispute arbitration agreement between a long-term care facility and a resident (or anyone acting on the resident's behalf) shall not be valid or specifically enforceable.
hr2996-109,109,2005-06-20,To provide for the liquidation or reliquidation of certain drawback claims.,,,Private Legislation|Tariff,,,,"This bill concerns customs and drawback claims and does not relate to private employer wage, hour, or benefit obligations.",Directs the Bureau of Customs and Border Protection to liquidate or reliquidate certain drawback claims and refund any amounts owed.
hr5326-111,111,2010-05-18,To repeal the National Organic Certification Cost-Share Program.,,Agriculture and Food,"Agricultural practices and innovations|Agricultural prices, subsidies, credit",,,,"This bill concerns agricultural certification cost-share programs and does not relate to private employer wage, hour, or benefit obligations.",Amends the Farm Security and Rural Investment Act of 2002 to repeal the national organic certification cost-share program.
hr462-113,113,2013-02-04,"To require the conveyance of certain public land within the boundaries of Camp Williams, Utah, to support the training and readiness of the Utah National Guard.",Utah National Guard Readiness Act,Public Lands and Natural Resources,Hazardous wastes and toxic substances|Land transfers|Military facilities and property|National Guard and reserves|Utah,,,,"This bill concerns the transfer of public land to the Utah National Guard for training purposes and does not relate to private employer wage, hour, or benefit obligations.","(This measure has not been amended since it was introduced. The summary has been expanded because action occurred on the measure.)

Utah National Guard Readiness Act - Directs the Secretary of the Interior, through the Bureau of Land Management (BLM) to convey to the state of Utah, without consideration, certain lands located within the boundaries of the public lands currently withdrawn for military use by the Utah National Guard and known as ""Camp Williams"" for the purpose of permitting the Utah National Guard to use such conveyed land.

Supersedes a specified Executive Order insofar as it affects the lands identified for conveyance.

Reverts conveyed lands to the United States if the Secretary of Defense (DOD) determines that the land, or any part of such land, is sold or attempted to be sold, or that the land or any part of it is used for non-National Guard or non-national defense purposes.

Requires the state, with respect to any part of the land conveyed that the Secretary of Defense determines is subject to reversion and which the Secretary determines contains hazardous materials, to pay the United States the fair market value of that part of the conveyed land. Bars the application of the reversionary interest to that part of the land."
hr4629-115,115,2017-12-12,"To direct the Department of Transportation to issue regulations to require enhanced security measures for shipments of security sensitive material, and for other purposes.",Save Our Communities from Risky Trains Act of 2017,Transportation and Public Works,Administrative law and regulatory procedures|Business records|Department of Transportation|Firearms and explosives|Government information and archives|Hazardous wastes and toxic substances|Radioactive wastes and releases|Railroads|Terrorism|Transportation safety and security,,,,"This bill focuses on transportation safety and security measures for hazardous materials and does not relate to private employer wage, hour, or benefit obligations.","Save Our Communities from Risky Trains Act of 2017 

This bill directs the Department of Transportation (DOT) to issue regulations to require enhanced security measures for shipments of security sensitive material.

DOT shall designate a material, or a group or class of material, as security sensitive if it determines that transporting such material in commerce poses a significant risk to national security due to its potential use in an act of terrorism.

Each railroad carrier transporting security sensitive material shall:

 compile material route and storage pattern information, and submit to DOT a written rail transportation route and storage pattern security risk analysis and an alternative route and storage pattern analysis. Railroad carriers shall use the route and storage pattern that, based on the analyses, best reduces the risk, including consequences, of a terrorist attack on, or derailment of, a shipment of security sensitive material transported through or near an area of concern (i.e., urban areas).

Each railroad carrier shall review once every five years any changes affecting the security movements of such material."
hr2107-115,115,2017-04-20,"To amend the Pilot's Bill of Rights to facilitate appeals, to limit the reexamination of airman certificates, and for other purposes.",Fairness for Pilots Act,Transportation and Public Works,Administrative law and regulatory procedures|Administrative remedies|Aviation and airports|Congressional oversight|Department of Transportation|Government information and archives|Government studies and investigations|Judicial review and appeals|Licensing and registrations|Transportation employees|Transportation safety and security,,,,"This bill concerns the administrative procedures and appeals processes related to FAA decisions regarding pilot certificates and enforcement actions; it does not regulate private employer wage, hour, or benefit obligations.","Fairness for Pilots Act

This bill amends the Pilot's Bill of Rights to revise the authorization for appeal to a federal court by a substantially affected individual from a decision of the National Transportation Safety Board to uphold an adverse Federal Aviation Administration (FAA) order or final decision. The bill specifies the suspension or revocation of an airman certificate as the punitive civil action which may be appealed.

A U.S. district court shall review de novo an FAA denial, suspension, or revocation of an airman certificate.

The bill prescribes requirements for FAA reexamination of airmen certificates where there are reasonable grounds to question an airman's lack of competence or believe a certificate was obtained through fraud.

The FAA may not take enforcement action against an individual for violation of a Notice to Airmen (NOTAM) regarding airspace system information until the FAA certifies its compliance with certain NOTAM Improvement Program requirements.

The FAA, upon receiving a request for a covered flight record of air traffic data not in its possession, shall request the record from a FAA contract tower or other FAA contractor possessing it.

The FAA shall revise certain regulations for FAA administrative disposition of a case under the Federal Aviation Act of 1958 or the Hazardous Materials Transportation Act to authorize the FAA legal counsel to close covered enforcement actions with a warning notice, letter of correction, or other administrative action."
hr4309-110,110,2007-12-06,"To require the Secretary of Transportation and the Secretary of Commerce to submit to Congress reports on the commercial and passenger vehicle traffic at certain points of entry, and for other purposes.",Border Wait Times Study Act,Transportation and Public Works,Boundaries|Canada|Congressional reporting requirements|Economic impact statements|Governmental investigations|Latin America|Mexico|Motor vehicles|Traffic congestion|Trucking,,,,"This bill focuses on studying border wait times and their economic impact and does not relate to any private employer wage, hour, or benefit obligations.","Border Wait Times Study Act - Directs the Secretary of Transportation to study and report to Congress on the traffic patterns of commercial and passenger vehicles that enter and exit U.S. international land ports of entry along the northern and southern borders. Directs the Secretary of Commerce to study and report to Congress on the negative economic impact, if any, on the United States of wait times at such ports of entry."
s3259-111,111,2010-04-26,A bill to amend subtitle A of the Antitrust Criminal Penalty Enhancement and Reform Act of 2004 to make the operation of such subtitle permanent law.,Antitrust Criminal Penalties Enforcement and Reform Act of 2004 Extension Act of 2010,Commerce,"Civil actions and liability|Competition and antitrust|Congressional oversight|Criminal investigation, prosecution, interrogation",,,,"This bill concerns antitrust enforcement and civil damages related to antitrust violations, and does not substantively relate to employer wage, hour, or benefit obligations.","Antitrust Criminal Penalties Enforcement and Reform Act of 2004 Extension Act of 2010 - Amends the Antitrust Criminal Penalty Enhancement and Reform Act of 2004 to make permanent provisions of that Act limiting civil damages in antitrust enforcement actions involving conduct covered by antitrust leniency agreements. Directs the Comptroller General to submit a report to the congressional Judiciary Committees on the effectiveness of the Antitrust Criminal Penalties Enforcement and Reform Act of 2004, both in criminal investigation and enforcement by the Department of Justice (DOJ) and in private civil actions."
hr2404-114,114,2015-05-18,"To amend title XVIII of the Social Security Act to provide for the coordination of programs to prevent and treat obesity, and for other purposes.",Treat and Reduce Obesity Act of 2015,Health,Health promotion and preventive care|Medicare|Mental health|Nutrition and diet|Physical fitness and lifestyle|Prescription drugs,,,,"The bill relates to Medicare coverage for obesity treatment and prevention; it does not directly regulate or incentivize private employer wage, hour, or benefit obligations.","Treat and Reduce Obesity Act of 2015

Amends title XVIII (Medicare) of the Social Security Act to authorize the Department of Health and Human Services (HHS), in addition to qualified primary care physicians and other primary care practitioners, to cover intensive behavioral therapy for obesity furnished by: (1) a physician who is not a qualified primary care physician; (2) an evidence-based, community-based HHS-approved lifestyle counseling program; or (3) any other appropriate health care provider (including a physician assistant, nurse practitioner, clinical nurse specialist, a clinical psychologist, and a registered dietitian or nutrition professional).

Allows coverage of intensive behavioral therapy for obesity furnished by another appropriate health care provider or program only if it is furnished: (1) upon referral from, and in coordination with, a physician or primary care practitioner in a primary care or other HHS-specified setting; and (2) in an office setting, a hospital outpatient department, a community-based site that complies with the federal regulations concerning the privacy of individually identifiable health information, or another HHS-specified setting.

Authorizes HHS to cover under Medicare part D (Voluntary Prescription Drug Benefit Program) medication for treatment of obesity or for weight loss management for an overweight individual with one or more related comorbidities."
hr2804-107,107,2001-08-02,"To designate the United States courthouse located at 95 Seventh Street in San Francisco, California, as the ""James R. Browning United States Courthouse"".",,Commemorations,California|Commemorations|Congressional tributes|Courthouses|Names,,,,"This bill designates a courthouse and does not relate to any private employer wage, hour, or benefit obligations.","Designates the U.S. courthouse located at 95 Seventh Street in San Francisco, California, as the James R. Browning United States Courthouse."
hr6623-112,112,2012-11-30,"To amend title 18, United States Code, to prohibit human cloning.",Human Cloning Prohibition Act of 2012,Crime and Law Enforcement,Cell biology and embryology|Criminal procedure and sentencing|Genetics|Medical ethics|Medical research|Trade restrictions,,,,"This bill prohibits human cloning and does not relate to any private employer wage, hour, or benefit obligations.","Human Cloning Prohibition Act of 2012 - Amends the federal criminal code to prohibit any public or private person or entity, in or affecting interstate commerce, from: (1) performing or attempting to perform human cloning; (2) participating in an attempt to perform human cloning; or (3) shipping, receiving, or importing the product of human cloning for any purpose. Sets forth criminal and civil penalties for violations.Provides that nothing in this Act shall restrict areas of scientific research not specifically prohibited by this Act, including research in the use of nuclear transfer or other cloning techniques to produce molecules, DNA, cells other than human embryos, tissues, organs, plants, or animals other than humans."
s2509-115,115,2018-03-07,"A bill to establish the National Park Restoration Fund, and for other purposes.",National Park Restoration Act,Public Lands and Natural Resources,"Congressional oversight|Department of the Interior|Energy revenues and royalties|Executive agency funding and structure|Government buildings, facilities, and property|Government trust funds|Parks, recreation areas, trails|Travel and tourism",,,,"This bill establishes a fund for National Park restoration and does not relate to private employer wage, hour, or benefit obligations.","National Park Restoration Act

This bill establishes the National Park Restoration Fund in the Treasury to be made available to the Department of the Interior for priority deferred maintenance needs that support critical infrastructure and visitor services of the National Park Service.

Funds deposited through FY2027 are calculated according to a formula that uses as a factor the total amount of energy development revenues due and payable to the federal government.

Interior may not use amounts in the fund to acquire lands.

Interior shall submit to Congress a list of the projects for which amounts from the fund are allocated, including a summary of each project."
hr4457-106,106,2000-05-15,"To redesignate the facility of the United States Postal Service located at 2221 North 24th Street in Omaha, Nebraska, as the ""Reverend J.C. Wade Post Office"".",,Commemorations,Commemorations|Congressional tributes|Names|Nebraska|Postal facilities,,,,"This bill solely concerns the renaming of a postal facility and does not relate to any private employer wage, hour, or benefit obligations.","Redesignates the U.S. Postal Service facility located at 2221 North 24th Street in Omaha, Nebraska, and known as the A Station, as the Reverend J.C. Wade Post Office Building."
hr2190-110,110,2007-05-07,"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to establish the Advisory Committee on Rural Veterans.",Advisory Committee on Rural Veterans Act of 2007,Armed Forces and National Security,Access to health care|Federal advisory bodies|Long-term care|Mental health services|Veterans' benefits|Veterans' medical care,,,,"Bill establishes an advisory committee to advise the VA on benefits for rural veterans; it does not regulate private employer conduct or introduce tax incentives related to wage, hour, or benefit obligations.","Advisory Committee on Rural Veterans Act of 2007 - Directs the Secretary of Veterans Affairs to establish the Advisory Committee on Rural Veterans to consult with and advise the Secretary on the administration of benefits by the Department of Veterans Affairs (VA) for rural veterans, reports and studies relating to rural veterans, and the needs of rural veterans with respect to primary care, mental health care, and long-term care."
hr3189-107,107,2001-10-31,"To extend the Export Administration Act until April 20, 2002.",Export Extension Act of 2001,Foreign Trade and International Finance,Export controls,,,,"This bill extends export control authority and does not relate to private employer wage, hour, or benefit obligations.","Export Extension Act of 2001 - Amends the Export Administration Act of 1979 to extend its export control authority through April 20, 2002."
s3168-107,107,2002-11-14,"A bill to improve funeral home, cemetery, and crematory inspections systems, to establish consumer protections relating to funeral service contracts, and for other purposes.",Federal Death Care Inspection and Disclosure Act,Commerce,Administrative fees|Administrative procedure|Advertising|Business records|Cemeteries and funerals|Civil actions and liability|Congressional reporting requirements|Consumer affairs departments|Consumer complaints|Consumer education|Consumer protection|Contracts|Damages|Deceptive advertising|Department of Health and Human Services|Employee training|Evidence (Law)|Executive reorganization|Federal Trade Commission|Federal officials|Federal preemption|Fees|Fraud|Funeral industry|Government paperwork|Governmental investigations|Grants-in-aid|Independent regulatory commissions|Interest|Intergovernmental fiscal relations|Licenses|Local laws|Recruiting of employees|Restrictive trade practices|Sales promotion|Standards|State employees|State laws|Surveys,,,,"The bill focuses on regulating the funeral industry and consumer protections related to funeral services, and does not directly address wage, hour, or benefit obligations of non-governmental employers.","Federal Death Care Inspection and Disclosure Act - Establishes within the Department of Health and Human Services the position of Coordinator of Funeral, Burial, and Disposition Services, to: (1) survey existing State laws pertaining to the death care industry; and (2) formulate standards specifying the elements of an effective system for registering, inspecting, and monitoring the handling and disposition of human remains by funeral homes and other death care providers.Requires the Coordinator to: (1) award Federal assistance grants to State agencies that regulate death care providers; and (2) establish minimum standards and requirements governing State regulation of funeral homes and other death care providers.Sets forth deceptive trade practices, including funeral provider practices that: (1) fail to make timely price disclosures regarding funeral goods and services; (2) fail to give an itemized written statement for retention to a purchaser of funeral goods or funeral services at the conclusion of the discussion related to such goods and services and prior to providing any services beyond taking possession of a deceased human body for authorized embalming; (3) make specified misrepresentations; (4) condition goods and services upon the purchase of other goods and services; and (5) provide embalming services without prior approval.Prohibits unsolicited telephone offers or door-to-door direct offers to sell funeral goods, services, crematory services, interment rights, or other cemetery and memorialization goods and services.Sets forth consumer protections with respect to certain cash advance prohibitions and requirements, and preneed and prepaid funeral service transactions."
s1231-108,108,2003-06-11,"A bill to eliminate the burdens and costs associated with electronic mail spam by prohibiting the transmission of all unsolicited commercial electronic mail to persons who place their electronic mail addresses on a national No-Spam Registry, and to prevent fraud and deception in commercial electronic mail by imposing requirements on the content of all commercial electronic mail messages.",SPAM Act,"Science, Technology, Communications",Consumer protection|Deceptive advertising|Direct mail advertising|Directories|Electronic commerce|Electronic mail systems|Government paperwork|Internet|Right of privacy|Telemarketing|Web sites|Wireless communication|World Wide Web,,,,"This bill addresses spam email and deceptive advertising practices, and does not relate to private employer wage, hour, or benefit obligations.","Stop Pornography and Abusive Marketing Act or SPAM Act - Directs the Federal Trade Commission (FTC) to establish a registry in which persons not wishing to receive unsolicited commercial electronic (UCE) mail may register their (or their child's) electronic mail (email) address. Makes it unlawful for a person to initiate UCE mail to a registered email address. Provides for enforcement by the FTC, with civil penalties of $5,000 for each violation. Makes it unlawful for any person to initiate the transmission of any UCE mail to a protected computer (a computer used by or for a financial institution or the U.S. Government) unless the message provides clear and conspicuous identification that it is an advertisement or solicitation by including ""ADV"" as the first characters in the subject line. Outlines procedures under which the FTC may approve a self-regulatory organization that requires program participants to adhere to such requirements. Makes it unlawful for a person to: (1) initiate the transmission of commercial email or UCE mail in violation of Internet service provider policies with respect to email, account registration and use, or other terms of service; and (2) send to a protected computer a message that contains false, misleading, or deceptive information in the subject line, header, or router information or in the body of the message. Requires all commercial email and UCE mail to contain: (1) a functioning return email address that a recipient may use to request not to receive any such mail in the future; and (2) clear and conspicuous notice of the opportunity to decline to receive further mail from the sender. Prohibits the transmission of commercial email and UCE mail: (1) to addresses obtained through illegal harvesting or automated means; and (2) without identifying the valid physical address of the sender. Provides for enforcement of this Act by: (1) the FTC; (2) certain other Federal agencies; (3) the attorney general of a State; (4) an Internet service provider; or (5) an individual consumer."
s1021-108,108,2003-05-07,A bill to amend the Richard B. Russell National School Lunch Act to improve the summer food service program for children.,Summer Food Service Program Improvement Act of 2003,Agriculture and Food,Child nutrition|Depressed areas|Elementary and secondary education|Food service|Governmental investigations|Grants-in-aid|Poor children|Rural conditions|School lunch program|Youth services,,,,"This bill relates to the summer food service program for children and does not directly regulate or incentivize private employer wage, hour, or benefit obligations.",Summer Food Service Program Improvement Act of 2003 - Amends the Richard B. Russell National School Lunch Act to revise requirements for the summer food service program for children. Provides for a temporary redefinition of rural areas in which poor economic conditions exist. Revises requirements relating to payments to service institutions for operating expenses and administrative costs. Directs the Secretary of Agriculture to make competitive startup grants to ten States to assist eligible service institutions in initiating summer food service program sites.
