bill_id,category_ids,category_labels
hr4764-109,12,"Fraud, Corruption & Criminal Conduct"
s3997-111,,
hr5193-112,,
s290-113,19,Lead Violation
s2611-114,24,Government Reporting & Compliance
hr2194-108,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr197-114,,
hr5502-111,14,Consumer Protection
s3138-112,15,Competition-related Offenses
s48-108,,
hr4172-115,1;10;11;24,Wage Hour & Benefits;Securities & Investor Protection;Accounting Financial Reporting & Tax;Government Reporting & Compliance
s342-107,1;24,Wage Hour & Benefits;Government Reporting & Compliance
hr872-115,5,Consumer Safety
hr1107-108,,
hr3998-111,,
hr2841-109,23,Healthcare Fraud & Compliance
hr1032-107,17;18,Water Violation;Earth Violation
s698-110,,
s1316-107,14;15,Consumer Protection;Competition-related Offenses
hr640-110,11,Accounting Financial Reporting & Tax
hr977-111,10;15;24,Securities & Investor Protection;Competition-related Offenses;Government Reporting & Compliance
hr5806-112,,
hr4043-108,,
hr2017-114,5;14,Consumer Safety;Consumer Protection
s2304-108,,
hr2176-113,,
hr4254-115,1;10;15,Wage Hour & Benefits;Securities & Investor Protection;Competition-related Offenses
s1012-111,,
hr2808-110,1,Wage Hour & Benefits
hr1505-107,15,Competition-related Offenses
hr5718-111,27,Firearms Violation
hr4951-112,15,Competition-related Offenses
s1015-113,,
hr646-114,17;18,Water Violation;Earth Violation
hr1371-110,15,Competition-related Offenses
hr3032-108,,
hr1763-115,12,"Fraud, Corruption & Criminal Conduct"
s737-109,10;12;24,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr69-107,,
s1366-107,,
hr5622-112,15,Competition-related Offenses
s1222-111,10;11;15,Securities & Investor Protection;Accounting Financial Reporting & Tax;Competition-related Offenses
s526-113,11,Accounting Financial Reporting & Tax
s1216-112,6,Transportation Safety
s939-109,,
hr3819-112,1,Wage Hour & Benefits
hr4417-114,17,Water Violation
s1580-109,1;2;14;23,Wage Hour & Benefits;Employment Discrimination;Consumer Protection;Healthcare Fraud & Compliance
hr6067-111,11;15,Accounting Financial Reporting & Tax;Competition-related Offenses
hr3282-111,,
hr1393-108,,
hr2274-108,,
hr2831-107,12,"Fraud, Corruption & Criminal Conduct"
hr2020-113,14,Consumer Protection
hr5078-110,15,Competition-related Offenses
hr4930-114,6;25,Transportation Safety;National Security & Cybercrime
s1047-112,17;18,Water Violation;Earth Violation
s2526-111,15,Competition-related Offenses
hr4099-113,21,Animal Welfare
hr3309-112,24,Government Reporting & Compliance
hr2760-108,10;15,Securities & Investor Protection;Competition-related Offenses
s1003-107,1,Wage Hour & Benefits
s3380-112,,
hjres2-110,,
hr3557-110,11,Accounting Financial Reporting & Tax
hr3316-109,,
s1619-112,10;15,Securities & Investor Protection;Competition-related Offenses
hr1796-108,18,Earth Violation
hr5260-110,15,Competition-related Offenses
s1579-112,,
s1743-109,14;15,Consumer Protection;Competition-related Offenses
hr4956-107,,
hr1015-111,,
hr5873-110,1,Wage Hour & Benefits
hr5841-113,23,Healthcare Fraud & Compliance
s1636-111,14,Consumer Protection
hr4338-113,6;17;18,Transportation Safety;Water Violation;Earth Violation
s61-111,10;14;22,Securities & Investor Protection;Consumer Protection;Government Contracting
hr559-115,1,Wage Hour & Benefits
hr4312-109,10;15,Securities & Investor Protection;Competition-related Offenses
hr4830-114,,
hr3668-111,,
s147-112,17,Water Violation
s48-116,18,Earth Violation
s3553-115,9;10,Banking AML & Sanctions;Securities & Investor Protection
sjres18-107,,
hr6440-110,,
hr6630-110,6;15,Transportation Safety;Competition-related Offenses
hr1092-114,,
hr5187-113,12,"Fraud, Corruption & Criminal Conduct"
hr1034-108,1;3,Wage Hour & Benefits;Labor Relations
hr2947-109,,
hr1301-111,11,Accounting Financial Reporting & Tax
hr2548-114,,
hr4367-109,23,Healthcare Fraud & Compliance
hr2949-111,,
hr3007-110,,
hr3882-111,,
hr919-113,1,Wage Hour & Benefits
hr6972-110,11,Accounting Financial Reporting & Tax
hr3034-111,11;15,Accounting Financial Reporting & Tax;Competition-related Offenses
s989-108,1,Wage Hour & Benefits
hr5150-109,,
hr1054-115,21,Animal Welfare
hr3458-112,23,Healthcare Fraud & Compliance
s1186-108,,
s2067-113,24,Government Reporting & Compliance
hr303-114,,
hr522-114,24,Government Reporting & Compliance
hr1755-109,1,Wage Hour & Benefits
hr374-107,24,Government Reporting & Compliance
s2775-108,,
hr204-115,5;14,Consumer Safety;Consumer Protection
hr2885-114,1,Wage Hour & Benefits
s1891-112,16;17;18,Air Violation;Water Violation;Earth Violation
hr982-114,10;11,Securities & Investor Protection;Accounting Financial Reporting & Tax
hr30-110,17,Water Violation
hr171-111,,
s1170-111,6,Transportation Safety
hr4592-110,15,Competition-related Offenses
hr474-115,7,Infrastructure & Nuclear Safety
s482-116,10;12;15;25,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Competition-related Offenses;National Security & Cybercrime"
hr193-115,,
hr4720-106,,
hr2764-111,2,Employment Discrimination
s2846-110,,
s433-108,18,Earth Violation
hr1890-116,,
hr2913-110,21,Animal Welfare
hr806-114,,
s1354-107,,
hr4201-114,1,Wage Hour & Benefits
hr1956-110,5;10;14,Consumer Safety;Securities & Investor Protection;Consumer Protection
hr2634-115,,
hr5938-115,1,Wage Hour & Benefits
hr1492-115,23,Healthcare Fraud & Compliance
hr69-110,1,Wage Hour & Benefits
s901-112,,
s402-114,,
hr2258-108,1;23,Wage Hour & Benefits;Healthcare Fraud & Compliance
s2828-108,24,Government Reporting & Compliance
hr3637-108,,
hr3837-106,15,Competition-related Offenses
hr6095-112,,
hr410-113,,
hr83-115,,
s3583-109,11;12;24,"Accounting Financial Reporting & Tax;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s3664-112,,
s1122-115,4,Workplace Safety
hr290-115,24,Government Reporting & Compliance
s1336-112,12,"Fraud, Corruption & Criminal Conduct"
hr5388-110,15,Competition-related Offenses
hr4893-109,10;15,Securities & Investor Protection;Competition-related Offenses
hr4913-112,,
s3572-115,24,Government Reporting & Compliance
s3283-109,15,Competition-related Offenses
hr6329-114,,
hr464-108,,
hr4846-106,10;13;24,Securities & Investor Protection;Intellectual Property & Trade Secrets;Government Reporting & Compliance
s1022-109,20,Energy Efficiency
hr554-109,14;15,Consumer Protection;Competition-related Offenses
s2399-114,16;17;18;22,Air Violation;Water Violation;Earth Violation;Government Contracting
hr4422-106,,
hr5120-109,13,Intellectual Property & Trade Secrets
hr2864-109,17;22,Water Violation;Government Contracting
s929-108,6,Transportation Safety
s191-109,,
s3820-109,24,Government Reporting & Compliance
s3643-110,,
hr648-109,15,Competition-related Offenses
hr729-114,23,Healthcare Fraud & Compliance
hr1862-114,1,Wage Hour & Benefits
hr6998-110,,
s2091-109,,
s2265-113,,
hr3080-108,,
hr304-111,,
hr490-108,10;15,Securities & Investor Protection;Competition-related Offenses
hr2637-114,16,Air Violation
hr2383-115,15,Competition-related Offenses
hr5005-114,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr6449-111,,
s2512-107,1,Wage Hour & Benefits
s1604-107,,
hjres82-115,18;22,Earth Violation;Government Contracting
hr5118-112,,
s3107-111,,
s3117-107,3,Labor Relations
hr2356-113,14,Consumer Protection
s1361-114,11,Accounting Financial Reporting & Tax
hr3691-109,17,Water Violation
hr3817-106,,
hr925-110,1,Wage Hour & Benefits
hr4066-111,11,Accounting Financial Reporting & Tax
hr1523-108,11,Accounting Financial Reporting & Tax
hr4704-109,2,Employment Discrimination
hr3422-109,,
hr2643-113,,
s1928-107,14;24,Consumer Protection;Government Reporting & Compliance
hr625-110,,
s572-112,3,Labor Relations
s2632-112,,
s1849-107,5,Consumer Safety
hr2753-108,18,Earth Violation
hr422-116,16,Air Violation
s2949-111,1,Wage Hour & Benefits
hjres92-114,,
hr5937-112,,
s123-113,10;24,Securities & Investor Protection;Government Reporting & Compliance
s193-110,,
hr4492-107,15,Competition-related Offenses
hr3108-110,24,Government Reporting & Compliance
hr3322-113,,
hr3410-108,17,Water Violation
hr5723-114,23,Healthcare Fraud & Compliance
hr913-114,5;14,Consumer Safety;Consumer Protection
s649-110,7,Infrastructure & Nuclear Safety
hr4156-106,,
s4038-111,1;23,Wage Hour & Benefits;Healthcare Fraud & Compliance
s390-107,,
hr5740-115,12,"Fraud, Corruption & Criminal Conduct"
s3290-109,,
s1989-110,2,Employment Discrimination
hr783-111,11,Accounting Financial Reporting & Tax
s1508-111,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr2094-108,11,Accounting Financial Reporting & Tax
hr5042-112,,
hr3879-115,24,Government Reporting & Compliance
hr921-116,,
hr3104-107,,
hr1444-107,24,Government Reporting & Compliance
hr6236-109,23,Healthcare Fraud & Compliance
hr1388-107,,
s1439-107,,
s2219-110,23,Healthcare Fraud & Compliance
hr3661-107,14,Consumer Protection
hr4913-114,10;15,Securities & Investor Protection;Competition-related Offenses
hr2554-111,10;14;24,Securities & Investor Protection;Consumer Protection;Government Reporting & Compliance
hjres15-116,,
hr321-111,1,Wage Hour & Benefits
hr1890-110,12;22,"Fraud, Corruption & Criminal Conduct;Government Contracting"
hr2355-108,17,Water Violation
s337-115,1,Wage Hour & Benefits
hr2910-115,7;15,Infrastructure & Nuclear Safety;Competition-related Offenses
hr4084-109,,
s609-111,,
s1018-108,11,Accounting Financial Reporting & Tax
hr4693-114,,
s1189-107,10;15,Securities & Investor Protection;Competition-related Offenses
s2646-106,15,Competition-related Offenses
hr214-115,,
hjres3-109,,
s1946-111,15,Competition-related Offenses
s1025-112,,
s3689-110,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr3596-106,,
s3452-109,15,Competition-related Offenses
s1843-113,24,Government Reporting & Compliance
hr2883-112,1,Wage Hour & Benefits
hr394-107,,
hr4433-112,15,Competition-related Offenses
hr4680-113,,
s908-107,24,Government Reporting & Compliance
hr5324-114,1,Wage Hour & Benefits
s2061-114,,
hr5639-114,24,Government Reporting & Compliance
hr4542-113,11,Accounting Financial Reporting & Tax
hr1664-107,7;15,Infrastructure & Nuclear Safety;Competition-related Offenses
hr6382-112,12,"Fraud, Corruption & Criminal Conduct"
hr3107-115,16,Air Violation
hr4943-109,12;14,"Fraud, Corruption & Criminal Conduct;Consumer Protection"
s549-108,12,"Fraud, Corruption & Criminal Conduct"
hr6517-111,10;15,Securities & Investor Protection;Competition-related Offenses
hr93-113,27,Firearms Violation
hr2726-109,15,Competition-related Offenses
hr2462-110,15,Competition-related Offenses
hr5185-113,,
hr6675-115,17,Water Violation
hr776-107,11,Accounting Financial Reporting & Tax
hr4061-107,,
s341-109,,
hr1226-109,9;10;15;24,Banking AML & Sanctions;Securities & Investor Protection;Competition-related Offenses;Government Reporting & Compliance
hr5093-109,,
hr2945-115,,
hr2661-115,22,Government Contracting
hr5916-110,10;15,Securities & Investor Protection;Competition-related Offenses
hr4528-115,15,Competition-related Offenses
s2762-107,11,Accounting Financial Reporting & Tax
hr4381-110,15,Competition-related Offenses
hr3647-107,15,Competition-related Offenses
s590-108,23,Healthcare Fraud & Compliance
hr4973-113,,
hr5235-112,15,Competition-related Offenses
s692-111,24,Government Reporting & Compliance
s580-111,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
hjres94-108,,
hr2802-112,12,"Fraud, Corruption & Criminal Conduct"
hr4887-110,15,Competition-related Offenses
hr2058-113,,
hr1133-110,10;15;20,Securities & Investor Protection;Competition-related Offenses;Energy Efficiency
s750-116,11,Accounting Financial Reporting & Tax
hr4732-112,15,Competition-related Offenses
s1857-114,,
hr3342-109,15,Competition-related Offenses
hr2455-107,,
s1860-114,2;12;24,"Employment Discrimination;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr1685-107,5,Consumer Safety
hr3043-111,,
hr3690-110,24,Government Reporting & Compliance
hr4040-112,,
hr3657-111,1,Wage Hour & Benefits
hr4846-109,,
hr4338-109,,
hr2131-110,,
s880-109,17;18,Water Violation;Earth Violation
s2619-111,15,Competition-related Offenses
hr6164-114,8,Campus Safety
hr2303-112,12,"Fraud, Corruption & Criminal Conduct"
hr772-107,,
s1029-107,,
s3638-112,,
s519-115,17,Water Violation
s2723-106,16;17,Air Violation;Water Violation
hr6199-110,,
hr4864-109,10;15,Securities & Investor Protection;Competition-related Offenses
hr3654-106,,
hr1730-111,20,Energy Efficiency
s2502-107,1;23,Wage Hour & Benefits;Healthcare Fraud & Compliance
s2105-115,,
hr1659-112,20,Energy Efficiency
s391-115,10;12,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct"
s2407-112,15,Competition-related Offenses
s2129-108,5;14,Consumer Safety;Consumer Protection
hr3559-106,12,"Fraud, Corruption & Criminal Conduct"
s3497-110,,
s2095-113,,
s887-112,,
hr5071-114,6;15,Transportation Safety;Competition-related Offenses
hr4272-108,,
s46-110,,
hr5089-108,15,Competition-related Offenses
hr2062-114,,
hr4352-110,,
hr714-113,10;15;22;24,Securities & Investor Protection;Competition-related Offenses;Government Contracting;Government Reporting & Compliance
hr148-112,1,Wage Hour & Benefits
s813-110,12,"Fraud, Corruption & Criminal Conduct"
s2795-110,1,Wage Hour & Benefits
hr6025-110,1,Wage Hour & Benefits
hr4457-106,,
s2334-113,,
hr4929-108,,
hr2702-115,,
s389-116,,
hr4038-107,10;11;12;15;24,"Securities & Investor Protection;Accounting Financial Reporting & Tax;Fraud, Corruption & Criminal Conduct;Competition-related Offenses;Government Reporting & Compliance"
s2516-115,23,Healthcare Fraud & Compliance
s3122-115,,
s1697-107,15,Competition-related Offenses
hr4376-113,1,Wage Hour & Benefits
s2578-115,24,Government Reporting & Compliance
hr5001-107,,
s2737-107,1;10;15;22,Wage Hour & Benefits;Securities & Investor Protection;Competition-related Offenses;Government Contracting
s3393-111,1,Wage Hour & Benefits
hr1778-107,2;12;24,"Employment Discrimination;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr2517-112,10;24,Securities & Investor Protection;Government Reporting & Compliance
hr4137-106,27,Firearms Violation
s383-109,24,Government Reporting & Compliance
hr5340-106,6,Transportation Safety
hr3229-114,23,Healthcare Fraud & Compliance
s3293-109,,
hr220-108,24,Government Reporting & Compliance
hr2802-115,11,Accounting Financial Reporting & Tax
s2731-113,1,Wage Hour & Benefits
s1294-111,10;24,Securities & Investor Protection;Government Reporting & Compliance
hr3049-107,9;12;24,"Banking AML & Sanctions;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s1759-115,,
hr6065-115,6,Transportation Safety
hr3968-106,15,Competition-related Offenses
hr5940-114,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
hr2426-107,24,Government Reporting & Compliance
hr669-109,,
s3861-109,12;25,"Fraud, Corruption & Criminal Conduct;National Security & Cybercrime"
s2675-109,6;20,Transportation Safety;Energy Efficiency
hr4118-116,,
s2651-106,15,Competition-related Offenses
hr4967-110,15,Competition-related Offenses
s2383-107,3;24,Labor Relations;Government Reporting & Compliance
hr6301-110,15;18,Competition-related Offenses;Earth Violation
hr3479-108,21,Animal Welfare
s3233-114,1,Wage Hour & Benefits
s919-113,,
hr3688-107,1,Wage Hour & Benefits
hr1904-110,17,Water Violation
hr5436-111,17;18,Water Violation;Earth Violation
s45-109,23,Healthcare Fraud & Compliance
hr5070-115,,
hr1191-115,26,Exploitation & Trafficking
hr1120-109,10;13,Securities & Investor Protection;Intellectual Property & Trade Secrets
hr3546-112,,
s2832-113,1,Wage Hour & Benefits
s2442-106,,
hr3965-111,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s286-115,18,Earth Violation
hr1949-112,22;24,Government Contracting;Government Reporting & Compliance
hr4271-110,16,Air Violation
hr144-114,11,Accounting Financial Reporting & Tax
hr95-108,22,Government Contracting
hr4312-108,6;24,Transportation Safety;Government Reporting & Compliance
s78-111,10;11,Securities & Investor Protection;Accounting Financial Reporting & Tax
hr4168-111,10;15,Securities & Investor Protection;Competition-related Offenses
s2225-106,1,Wage Hour & Benefits
hr4745-109,,
s772-112,1;24,Wage Hour & Benefits;Government Reporting & Compliance
hr197-113,,
s595-109,1,Wage Hour & Benefits
hr5239-108,,
hr4557-111,,
s1238-107,,
hr4470-106,,
s2899-114,17,Water Violation
hr1653-109,14;24,Consumer Protection;Government Reporting & Compliance
hr1954-108,,
hr743-108,10;12;14,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Consumer Protection"
s2851-110,11,Accounting Financial Reporting & Tax
s3306-111,17,Water Violation
hr1818-107,12,"Fraud, Corruption & Criminal Conduct"
hr677-115,10;15,Securities & Investor Protection;Competition-related Offenses
hr5822-111,1;22;24,Wage Hour & Benefits;Government Contracting;Government Reporting & Compliance
hr5056-107,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr3289-111,,
hjres130-113,,
hr5780-114,18;22,Earth Violation;Government Contracting
hr5213-110,,
hr3184-107,5,Consumer Safety
hr5944-110,,
hr2706-108,11,Accounting Financial Reporting & Tax
hr1022-107,,
hr1357-109,12,"Fraud, Corruption & Criminal Conduct"
hr555-114,14,Consumer Protection
hr617-108,,
hr6408-111,,
hr5372-107,15,Competition-related Offenses
hr2732-108,1,Wage Hour & Benefits
s3116-106,15,Competition-related Offenses
s83-113,1,Wage Hour & Benefits
s1374-107,17;18,Water Violation;Earth Violation
hr1420-110,,
hr1047-107,14,Consumer Protection
hr4419-108,18,Earth Violation
hr4680-108,3,Labor Relations
hr2297-116,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
s1787-108,,
hr6574-112,,
hr6052-109,10;13,Securities & Investor Protection;Intellectual Property & Trade Secrets
s1628-110,,
s2544-111,,
hr5423-107,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr2280-107,11,Accounting Financial Reporting & Tax
s39-115,,
hjres34-115,18;22,Earth Violation;Government Contracting
s2502-112,15,Competition-related Offenses
hr3543-112,27,Firearms Violation
s31-107,11,Accounting Financial Reporting & Tax
s2092-108,,
hr6347-115,9;10,Banking AML & Sanctions;Securities & Investor Protection
hr4742-107,24,Government Reporting & Compliance
s1993-109,,
hr6218-110,16;20,Air Violation;Energy Efficiency
hr3445-107,1,Wage Hour & Benefits
hr1881-107,24,Government Reporting & Compliance
hr6112-111,17;18,Water Violation;Earth Violation
s3166-114,,
s257-108,,
hr922-110,,
hr1322-112,1,Wage Hour & Benefits
hr1090-114,10,Securities & Investor Protection
hr1202-113,,
hr5846-114,12,"Fraud, Corruption & Criminal Conduct"
s647-113,13,Intellectual Property & Trade Secrets
hr1790-113,,
s1531-107,1,Wage Hour & Benefits
hr4850-115,,
s3797-111,,
s1696-111,20,Energy Efficiency
hr6094-112,6,Transportation Safety
s1873-112,11,Accounting Financial Reporting & Tax
s1689-108,10;15,Securities & Investor Protection;Competition-related Offenses
hr4374-108,1;23;24,Wage Hour & Benefits;Healthcare Fraud & Compliance;Government Reporting & Compliance
s2480-114,2,Employment Discrimination
hr1603-114,,
hr1369-112,,
s1707-113,1,Wage Hour & Benefits
hr4116-107,15,Competition-related Offenses
hr4573-106,15,Competition-related Offenses
hr5477-109,10;13,Securities & Investor Protection;Intellectual Property & Trade Secrets
hr670-109,1,Wage Hour & Benefits
s2371-112,1;3,Wage Hour & Benefits;Labor Relations
hr272-109,,
hr257-114,,
s342-113,,
s734-107,22,Government Contracting
s2359-110,,
hr3269-109,9;10,Banking AML & Sanctions;Securities & Investor Protection
s2491-106,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr5690-107,,
s3944-109,23,Healthcare Fraud & Compliance
hr2957-114,21,Animal Welfare
hr6221-111,18,Earth Violation
hr4705-109,1,Wage Hour & Benefits
hr5489-106,,
hjres98-106,,
s2857-111,10;15,Securities & Investor Protection;Competition-related Offenses
s1429-113,10;15,Securities & Investor Protection;Competition-related Offenses
hr1445-113,,
hr2076-110,17;19,Water Violation;Lead Violation
hr2974-113,,
hr3994-106,17,Water Violation
hr1106-111,1;10;14,Wage Hour & Benefits;Securities & Investor Protection;Consumer Protection
hr3913-106,,
hr1734-115,,
hr5159-115,16,Air Violation
hr2316-113,,
hr4837-110,24,Government Reporting & Compliance
hr6450-111,1,Wage Hour & Benefits
hr3875-109,23,Healthcare Fraud & Compliance
s3341-111,1,Wage Hour & Benefits
hr4125-106,,
hr2249-111,14;23,Consumer Protection;Healthcare Fraud & Compliance
hr1385-110,20,Energy Efficiency
s1245-108,24,Government Reporting & Compliance
hr4884-113,,
s141-112,11,Accounting Financial Reporting & Tax
hjres126-106,,
hr3421-107,,
s2149-109,,
hr5107-107,,
hr2039-114,10;12;15;22;24,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Competition-related Offenses;Government Contracting;Government Reporting & Compliance"
hr3106-107,10;24,Securities & Investor Protection;Government Reporting & Compliance
s3395-112,,
hr4030-115,8,Campus Safety
s786-116,,
s108-113,,
s1992-109,,
s640-109,,
s2757-107,23,Healthcare Fraud & Compliance
hr555-111,,
s990-110,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
s1084-109,1,Wage Hour & Benefits
s1387-114,1,Wage Hour & Benefits
s341-110,10;11;15;22,Securities & Investor Protection;Accounting Financial Reporting & Tax;Competition-related Offenses;Government Contracting
s2201-107,10;14;24,Securities & Investor Protection;Consumer Protection;Government Reporting & Compliance
s3440-110,6;24,Transportation Safety;Government Reporting & Compliance
hr356-107,,
hr4578-112,15,Competition-related Offenses
hr1322-107,1,Wage Hour & Benefits
hr3366-114,,
hr4586-108,13,Intellectual Property & Trade Secrets
hr2165-110,4,Workplace Safety
s283-108,11,Accounting Financial Reporting & Tax
hr2312-108,10,Securities & Investor Protection
hr5779-112,15,Competition-related Offenses
hr4832-107,23,Healthcare Fraud & Compliance
hr1064-114,,
hr3908-109,10;15,Securities & Investor Protection;Competition-related Offenses
hr5577-110,10;12;24,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr4886-110,15,Competition-related Offenses
hr2447-115,,
hr5558-106,23,Healthcare Fraud & Compliance
hr4631-115,24,Government Reporting & Compliance
hr795-110,,
hr6447-114,12;24;25,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance;National Security & Cybercrime"
s2637-111,,
hjres97-109,,
hr4953-107,18,Earth Violation
hr2460-110,14,Consumer Protection
s2587-113,15,Competition-related Offenses
hr4372-109,4;6,Workplace Safety;Transportation Safety
s2513-109,15,Competition-related Offenses
s1849-110,1,Wage Hour & Benefits
s841-110,,
hr5536-114,,
hr2102-115,10,Securities & Investor Protection
hr802-115,,
hr5101-113,6;15,Transportation Safety;Competition-related Offenses
s1749-110,12,"Fraud, Corruption & Criminal Conduct"
hr2299-112,12;26,"Fraud, Corruption & Criminal Conduct;Exploitation & Trafficking"
s1013-109,24,Government Reporting & Compliance
hr2940-116,,
s1254-112,10;15,Securities & Investor Protection;Competition-related Offenses
hr1382-111,20,Energy Efficiency
hr5608-106,12,"Fraud, Corruption & Criminal Conduct"
hr6446-111,,
s1715-115,11,Accounting Financial Reporting & Tax
s227-115,9;12;15,"Banking AML & Sanctions;Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
hr1629-115,21,Animal Welfare
hr729-111,,
s1312-108,,
s3381-109,,
s1480-107,7;12;24,"Infrastructure & Nuclear Safety;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr124-113,,
hr5217-112,15,Competition-related Offenses
s3818-111,,
hr2683-108,8,Campus Safety
s1638-112,,
hr3852-109,14,Consumer Protection
hr4231-113,,
hr3882-110,,
hr1774-111,20,Energy Efficiency
s455-108,,
hr136-113,17,Water Violation
s2423-115,,
hr294-111,,
hr6215-114,,
hr1168-108,,
hr3623-113,10,Securities & Investor Protection
hr4695-109,4;18;24,Workplace Safety;Earth Violation;Government Reporting & Compliance
hr4798-111,17,Water Violation
s1047-109,,
s2075-114,1,Wage Hour & Benefits
s1277-113,10;23,Securities & Investor Protection;Healthcare Fraud & Compliance
hr4056-111,1,Wage Hour & Benefits
hr4477-115,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s3012-110,,
hr2840-113,15,Competition-related Offenses
hr5062-113,9;14,Banking AML & Sanctions;Consumer Protection
hr3031-111,,
hr3692-107,1,Wage Hour & Benefits
hr466-109,,
hr1670-111,1,Wage Hour & Benefits
s1958-116,,
hr4175-114,,
s3634-110,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
s1022-113,6,Transportation Safety
hr375-114,,
hr6265-111,5,Consumer Safety
s368-111,,
hr1029-114,16,Air Violation
hr3954-111,,
s2754-107,10;15;24,Securities & Investor Protection;Competition-related Offenses;Government Reporting & Compliance
hr6124-112,,
s2852-107,1,Wage Hour & Benefits
hr3612-109,23,Healthcare Fraud & Compliance
sjres11-114,2;15,Employment Discrimination;Competition-related Offenses
hr1216-110,6,Transportation Safety
hr3749-112,1,Wage Hour & Benefits
hr1896-107,23,Healthcare Fraud & Compliance
hr1951-111,,
s1396-109,10,Securities & Investor Protection
hr2520-113,24,Government Reporting & Compliance
hr6921-110,10;15;24,Securities & Investor Protection;Competition-related Offenses;Government Reporting & Compliance
s569-114,10;15,Securities & Investor Protection;Competition-related Offenses
hr4310-108,,
hr3977-115,10;22,Securities & Investor Protection;Government Contracting
s476-107,1,Wage Hour & Benefits
hr712-111,1,Wage Hour & Benefits
hr2073-116,11,Accounting Financial Reporting & Tax
s2225-113,20,Energy Efficiency
hr2910-113,10;15,Securities & Investor Protection;Competition-related Offenses
hr981-113,18,Earth Violation
hr2568-114,23,Healthcare Fraud & Compliance
hr110-110,17,Water Violation
hr1624-113,12,"Fraud, Corruption & Criminal Conduct"
hr5104-109,,
hr6706-112,14,Consumer Protection
hr2019-113,24,Government Reporting & Compliance
hr455-109,,
hr186-110,17,Water Violation
s1317-114,1,Wage Hour & Benefits
hr5667-115,15,Competition-related Offenses
hjres7-110,,
hr3152-112,,
s1869-111,15,Competition-related Offenses
hr238-112,,
s148-107,11,Accounting Financial Reporting & Tax
s4005-109,,
s90-111,3;15,Labor Relations;Competition-related Offenses
s678-109,24,Government Reporting & Compliance
hr3011-115,,
hr1363-113,18,Earth Violation
s2439-111,15,Competition-related Offenses
s317-112,,
hr3073-108,11;14,Accounting Financial Reporting & Tax;Consumer Protection
hr2396-111,1,Wage Hour & Benefits
hr2894-110,,
s160-113,14,Consumer Protection
hr6166-114,,
hr3136-113,,
hr771-109,,
hr2689-112,,
hr2900-114,,
s484-115,10,Securities & Investor Protection
hr1172-112,23,Healthcare Fraud & Compliance
s1373-113,14,Consumer Protection
hr5148-113,9;10;14,Banking AML & Sanctions;Securities & Investor Protection;Consumer Protection
hr98-111,1,Wage Hour & Benefits
s334-112,7,Infrastructure & Nuclear Safety
hr628-115,1,Wage Hour & Benefits
s155-108,15,Competition-related Offenses
s482-108,15,Competition-related Offenses
hr2592-112,11,Accounting Financial Reporting & Tax
s3256-112,1;2,Wage Hour & Benefits;Employment Discrimination
hr1811-112,1,Wage Hour & Benefits
hr854-116,,
hr3889-106,1;22,Wage Hour & Benefits;Government Contracting
hr1934-112,,
hr1277-115,,
hr4136-111,,
hr342-108,,
s1565-107,,
hr1527-110,,
hr6506-110,,
s2191-109,15,Competition-related Offenses
hr2044-111,,
s131-108,7;12;24,"Infrastructure & Nuclear Safety;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s1975-107,,
hr4935-109,,
s1807-110,,
s158-113,12,"Fraud, Corruption & Criminal Conduct"
hr7301-110,,
hr1071-114,,
hr1032-112,22,Government Contracting
hr7321-110,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
s2054-111,15,Competition-related Offenses
s481-112,,
s1648-107,1,Wage Hour & Benefits
